
«Жиырмалық тобына» қатысушы елдер көшбасшыларының саммиті шеңберінде өткізілетін іс-шараларға Қазақстан Республикасының қатысуы жөніндегі 2013 жылға арналған іс-шаралар жоспарын орындау мақсатында Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДІ: 1. Қоса беріліп отырған «Жиырмалық тобына» қатысушы елдер көшбасшыларының саммиті шеңберінде өткізілетін іс-шараларға Қазақстан Республикасының қатысуы жөніндегі 2013 жылға арналған іс-шаралар жоспары (бұдан әрі – Жоспар) бекітілсін. 2. Қазақстан Республикасының орталық атқарушы органдары, өзге де мемлекеттік органдары (келісім бойынша), сондай-ақ Жоспарды орындауға жауапты мүдделі ұйымдар (келісім бойынша): 1) Жоспарды iске асыру жөнiнде шаралар қабылдасын; 2) Жоспарда көзделген іс-шаралар өткізілген күннен кейін 10 күн ішінде Қазақстан Республикасы Президенті Әкімшілігінің Стратегиялық әзірлемелер және талдау орталығына ақпарат берсін. 3. Осы қаулының орындалуын бақылау Қазақстан Республикасы Премьер-Министрінің орынбасары Қ.Н. Келімбетовке жүктелсін. 4. Осы қаулы қол қойылған күнінен бастап қолданысқа енгізіледі.

Қазақстан Республикасының Премьер-Министрі                                     С. Ахметов

Қазақстан Республикасы Үкіметінің 2013 жылғы 13 маусымдағы № 596 қаулысымен бекітілген

«Жиырмалық тобына» қатысушы елдер көшбасшыларының саммиті шеңберінде өткізілетін іс-шараларға Қазақстан Республикасының қатысуы жөніндегі 2013 жылға арналған іс-шаралар Жоспары


№р/с	|	Іс-шара	|	Аяқтау нысаны	|	Орындауға жауаптылар	|	Орындау мерзімі
24.	|	«Жиырмалық тобының» қаржы министрлері және орталық банк басқарушыларының кездесуіне қатысу	|	СӘТО-ға ақпарат	|	ҰБ (келісім бойынша), Қаржымині, СІМ	|	2013 жылғышілде
25.	|	«Жиырмалық тобының» шерпаларының кездесуіне қатысу	|	СӘТО-ға ақпарат	|	ПӘ (келісім бойынша), СІМ	|	2013 жылғышілде
26.	|	«Жиырмалық тобының» шерпаларының және қаржы министрлері орынбасарларының біріккен кездесуіне қатысу	|	СӘТО-ға ақпарат	|	ПӘ (келісім бойынша), СІМ	|	2013 жылғықыркүйек
27.	|	«Жиырмалық тобының» қаржы министрлерінің кездесуіне қатысу	|	СӘТО-ға ақпарат	|	СІМ, ҚМ	|	2013 жылғықыркүйек
28.	|	«Жиырмалық тобының» мемлекет басшылары мен үкімет басшыларының саммитіне қатысу	|	СӘТО-ға ақпарат	|	ПӘ (келісім бойынша), ПМК, СІМ	|	2013 жылғықыркүйек
29.	|	Жұмыспен қамту мәселелері жөніндегі жұмыс тобының отырысына қатысу	|	СӘТО-ға ақпарат	|	Еңбекмині, ПӘ (келісім бойынша), СІМ	|	2013 жылғықазан
30.	|	Сыбайлас жемқорлыққа қарсы іс-қимыл жөніндегі жұмыс тобының отырысына қатысу	|	СӘТО-ға ақпарат	|	Қаржы полициясы (келісім бойынша), СІМ	|	2013 жылғықазан
31.	|	Валюта-қаржы жүйесін реформалау жөніндегі отырысқа қатысу	|	СӘТО-ға ақпарат	|	ҰБ (келісім бойынша), Қаржымині, СІМ	|	2013 жылғықазан
32.	|	«Жиырмалық тобының» қаржы министрлері орынбасарларының және орталық банк басқарушыларының кездесуіне қатысу	|	СӘТО-ға ақпарат	|	ҰБ (келісім бойынша), Қаржымині, СІМ	|	2013 жылғықазан
33.	|	«Жиырмалық тобының» қаржы министрлерінің және орталық банк басқарушыларының кездесуіне қатысу	|	СӘТО-ға ақпарат	|	ҰБ (келісім бойынша), Қаржымині, СІМ	|	2013 жылғықазан
34.	|	Дамуға жәрдемдесу жөніндегі жұмыс тобының отырысына қатысу	|	СӘТО-ға ақпарат	|	ЭБЖМ, СІМ	|	2013 жылғықазан
35.	|	«Жиырмалық тобының» шерпаларының кездесуіне қатысу	|	СӘТО-ға ақпарат	|	ПӘ (келісім бойынша), СІМ	|	2013 жылғықазан
36.	|	Қаржылық қызметке рұқсатты кеңейту саласындағы жаһандық әріптестік жөніндегі конференцияға және семинарға қатысу	|	СӘТО-ға ақпарат	|	ҰБ (келісім бойынша), Қаржымині, СІМ	|	2013 жылғықазан
37.	|	Қаржылық тұрақтылық жөніндегі кеңестің пленарлық отырысына қатысу	|	СӘТО-ға ақпарат	|	ҰБ (келісім бойынша), СІМ	|	2013 жылғықараша


Ескертпе. Аббревиатуралардың толық жазылуы: ПӘ – Қазақстан Республикасы Президентінің Әкімшілігі СӘТО – Қазақстан Республикасы Президенті Әкімшілігінің Стратегиялық әзірлемелер және талдау орталығы ПМК – Қазақстан Республикасы Премьер-Министрінің Кеңсесі СІМ – Қазақстан Республикасы Сыртқы істер министрлігі ИЖТМ – Қазақстан Республикасы Индустрия және жаңа технологиялар министрлігі БҒМ – Қазақстан Республикасы Білім және ғылым министрлігі Қоршағанортамині – Қазақстан Республикасы Қоршаған ортаны қорғау министрлігі ЭБЖМ – Қазақстан Республикасы Экономика және бюджеттік жоспарлау министрлігі МГМ – Қазақстан Республикасы Мұнай және газ министрлігі Еңбекмині – Қазақстан Республикасы Еңбек және халықты әлеуметтік қорғау министрлігі МАМ – Қазақстан Республикасы Мәдениет және ақпарат министрлігі ІІМ – Қазақстан Республикасы Ішкі істер министрлігі Қаржымині – Қазақстан Республикасы Қаржы министрлігі ҰБ – Қазақстан Республикасы Ұлттық банкі Қаржы полициясы – Қазақстан Республикасы Экономикалық қылмысқа және сыбайлас жемқорлыққа қарсы күрес агенттігі ӨДМ – Қазақстан Республикасы Өңірлік даму министрлігі БҚА – Қазақстан Республикасы Бәсекелестікті қорғау агенттігі ЕЭҒК – Еуразиялық экономикалық ғалымдар клубы «Атамекен» - «Атамекен» Одағы» Қазақстанның Ұлттық экономикалық палатасы

