
БҰЙЫРАМЫН: 1. Мектепке дейінгі, бастауыш, негізгі орта, жалпы орта, техникалық және кәсіптік білім беру ұйымдарын жабдықтармен және жиһазбен жарақтандыру нормаларын бекіту туралы» Қазақстан Республикасы Білім және ғылым Министрінің 2012 жылғы 7 наурыздағы № 97 бұйрығына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 7574 тіркелген, «Егемен Қазақстан» газетінің 2012 жылғы 25 тамыздағы № 551-556 (27629); 2012 жылғы 28 тамыздағы № 557-561 (27634); 2012 жылғы 29 тамыздағы № 562-569 (27642); 2012 жылғы 1 қыркүйектегі № 575-579 (27652); 2012 жылғы 19 қыркүйектегі № 609-614 (27687) сандарында жарияланған) мынадай өзгерістер енгізілсін: тақырып мынадай мазмұнда жазылсын: «Техникалық және кәсіптік білім беру ұйымдарын жабдықтармен және жиһазбен жарақтандыру нормаларын бекіту туралы»; 1-тармақ мынадай мазмұнда жазылсын: «1. Техникалық және кәсіптік білім беру ұйымдарын жабдықтармен және жиһазбен жарақтандыру нормаларын бекіту»; көрсетілген бұйрықпен бекітілген Мектепке дейінгі, бастауыш, негізгі орта, жалпы орта, техникалық және кәсіптік білім беру ұйымдарын жабдықтармен және жиһазбен жарақтандыру нормалары , осы бұйрыққа қосымшаға сәйкес жаңа мазмұнда жазылсын. 2. Кәсіптік-техникалық және орта білімнен кейінгі білім департаменті (Д.Ж. Қаленова) заңнамада белгіленген тәртіппен: 1) осы бұйрықтың белгіленген тәртіппен Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелуін; 2) осы бұйрықтың мемлекеттік тіркелгеннен кейін күнтізбелік он күн ішінде оның көшірмесін мерзімді баспа басылымдарында және «Әділет» ақпараттық-құқықтық жүйесінде ресми жариялауға, сондай-ақ Қазақстан Республикасы нормативтік құқықтық актілерінің Эталондық бақылау банкінде орналастыру үшін «Қазақстан Республикасы Әділет министрлігінің Республикалық құқықтық ақпарат орталығы» шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнына жолдауды; 3) осы бұйрықты Қазақстан Республикасы Білім және ғылым министрлігінің интернет-ресурсында орналастыруды қамтамасыз етсін. 4) осы бұйрық Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркеуден өткеннен кейін он жұмыс күні ішінде Қазақстан Республикасы Білім және ғылым министрлігінің Заң департаментіне осы бұйрықтың 2-тармағының 1) және 2) тармақшаларында көзделген іс-шаралардың орындалуы туралы мәліметтерді ұсынуды қамтамасыз етсін. 3. Осы бұйрықтың орындалуын бақылау Қазақстан Республикасының Білім және ғылым вице-министрі Е.Н. Иманғалиевке жүктелсін. 4. Осы бұйрық алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.

Қазақстан Республикасының Білім және ғылым Министрі                  А. Сәрінжіпов

Қазақстан Республикасы Білім және ғылым Министрінің 2016 жылғы 29 қаңтардағы № 98 бұйрығына қосымша

Қазақстан Республикасы Білім және ғылым Министрінің 2012 жылғы 7 наурыздағы № 97 бұйрығына қосымша

Техникалық және кәсіптік білім беру ұйымдарын жабдық және жиһазбен жабдықтау нормалары

1. Техникалық және кәсіптік білім беру ұйымдарының әкімшілік орын-жайларына арналған жиһаз және жабдықтардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
18	|	Көрнекі құралдар	|	жиынтық	|	1
19	|	Әдебиеттер жиынтығы	|	жиынтық	|	1


12. Техникалық және кәсіптік білім беру ұйымдарының информатика кабинетіне арналған жабдық, жиһаз, техникалық оқыту құралдары, құралдардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Оқытушы креслосы	|	дана	|	1
4	|	Компьютерлік оқушы үстелдері	|	дана	|	25
5	|	Оқушы орындықтары	|	дана	|	25
6	|	Шкаф	|	дана	|	2
7	|	Оқытушыға арналған жүйелік блок	|	дана	|	1
8	|	Оқушыға арналған жүйелік блок	|	дана	|	25
9	|	Монитор	|	дана	|	25
10	|	Web-камера	|	дана	|	1
11	|	Жүйелік коммутатор	|	дана	|	2
12	|	Желілік фильтр	|	дана	|	26
13	|	Проектор	|	дана	|	1
14	|	Проекторға арналған төбе бекіткіші	|	дана	|	1
15	|	Информатика пәні бойынша бағдарламалық құралдарын оқу бағдарламаларын іске асыруға арналған жиынтығы	|	дана	|	26
	|	Қосымша жабдық	|	
16	|	Дәрі қобдишасы	|	дана	|	1
17	|	Электрмен жабдықтау қалқаны	|	дана	|	1


13. Техникалық және кәсіптік білім беру ұйымдарының тарих кабинетіне арналған жабдық, жиһаз және техникалық оқыту құралдарының, құралдардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Жартылай жұмсақ орындық	|	дана	|	1
4	|	Екіорындық оқушы үстелі	|	дана	|	13
5	|	Оқушы үстелі	|	дана	|	25
6	|	Жартылай әйнектелген шкаф	|	дана	|	2
7	|	Жүйелік блок	|	дана	|	1
8	|	Монитор	|	дана	|	1
9	|	Желілік фильтр	|	дана	|	2
10	|	Көпфункциялық құрылғы	|	дана	|	1
11	|	Проектор	|	дана	|	1
12	|	Проектораға арналған төбе бекіткіші	|	дана	|	1
	|	Экранды-дыбыстық құралдар	|	дана	|	
13	|	Электронды оқулықтар жиынтығы	|	жиынтық	|	1
14	|	DVD-ға арналған бейнефильмдер жиынтығы	|	жиынтық	|	1
15	|	Электронды плакаттар жиынтығы	|	жиынтық	|	1
	|	Тарих пәні бойынша карталар	|		|	
16	|	Қазақстан тарихы пәні бойынша карталар жиынтығы	|	жиынтық	|	1
17	|	Дүниежүзі тарихы бойынша карталар жиынтығы	|	жиынтық	|	1


14. Техникалық және кәсіптік білім беру ұйымдарының қазақ тілі және әдебиеті кабинетіне арналған жабдық, жиһаз, техникалық оқыту құралдары, құралдар және керек-жарақтардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Компьютерге арналған жанама құрылғысы бар оқытушы үстелі	|	дана	|	1
3	|	Жартылай жұмсақ орындық	|	дана	|	1
4	|	Екіорындық оқушы үстелі	|	дана	|	13
5	|	Оқушы орындығы	|	дана	|	25
6	|	Жартылай әйнектелген шкаф	|	дана	|	2
7	|	Жүйелік блок	|	дана	|	1
8	|	Монитор	|	дана	|	1
9	|	Желілік фильтр	|	дана	|	2
10	|	Көпфункциялық құрылғы	|	дана	|	1
	|	Экрандық-дыбыстық құралдар	|		|	
11	|	Электронды оқу басылымдарының жиынтығы	|	дана	|	1
12	|	DVD бейнефильмдер жиынтығы	|	дана	|	1
13	|	Көрнекі құралдар жиынтығы	|	дана	|	1
14	|	Қабырға плакаттарының жиынтығы	|	жиынтық	|	1


15. Техникалық және кәсіптік білім беру ұйымдарының лингафон кабинетіне арналған жабдық және жиһаздың шағын тізімі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Оқытушы креслосы	|	дана	|	1
4	|	Оқушының жартылай кабина-үстелі	|	дана	|	15
5	|	Оқушы орындығы	|	дана	|	15
6	|	Оқу-көрнекі құралдарына арналған шкаф	|	дана	|	1
	|	Лингофондық жабдық	|	
7	|	Оқытушы пульті	|	дана	|	1
8	|	Кабинеттің реттеуші-блогы	|	дана	|	1
9	|	Оқушының басқару блогы	|	дана	|	15
10	|	Микрофонды-телефондық гарнитура	|	дана	|	15
	|	Қосымша құрылғылар	|	
11	|	Плакаттар мен қабырға стендтерінің жиынтығы	|	жиынтық	|	1
12	|	Желілік фильтр	|	дана	|	2


16. Техникалық және кәсіптік білім беру ұйымдарының математика кабинетіне арналған жабдық, жиһаз, техникалық оқыту құралдары, құралдарға қойылатын шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Жартылай жұмсақ орындық	|	дана	|	1
4	|	Екіорындық оқушы үстелі	|	дана	|	13
5	|	Оқушы орындығы	|	дана	|	25
6	|	Жартылай әйнектелген жабық шкаф	|	дана	|	2
7	|	Жүйелік блок	|	дана	|	1
8	|	Монитор	|	дана	|	1
9	|	Желілік фильтр	|	дана	|	2
10	|	Көпфункциялық құрылғы	|	дана	|	1
11	|	Проектор	|	дана	|	1
12	|	Проекторға арналған төбе бекіткіші	|	дана	|	1
13	|	Модельдер мен құралдар жиынтығы	|	жиынтық	|	1
14	|	Көрнекі құралдар жиынтығы	|	жиынтық	|	1
15	|	Қабырға стендтерінің жиынтығы	|	жиынтық	|	1
16	|	Анықтамалық, әдістемелік, ғылыми әдебиеттер	|	жиынтық	|	1
	|	Экранды-дыбыстық құралдар	|		|	
17	|	Электронды басылымдар жиынтығы	|	жиынтық	|	1
18	|	DVD бейнефильмдер жиынтығы	|	жиынтық	|	1
19	|	Электронды плакаттар комплекті	|	жиынтық	|	1
20	|	Математика бойынша мулитимедиалық құрал	|	жиынтық	|	1


17. Техникалық және кәсіптік білім беру ұйымдарының мультимедиалық лингафон кабинетіне арналған жабдық, жиһаз, техникалық оқыту құралдары, құралдардың тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Оқытушы орындығы	|	дана	|	1
4	|	Оқушының жартылай кабиналы үстелі	|	дана	|	25
5	|	Оқушы орындығы	|	дана	|	25
6	|	Оқу-көрнекі құралдарға арналған шкаф	|	дана	|	1
7	|	Оқытушының жүйелік блогы	|	дана	|	1
8	|	Оқушының жүйелік блогы	|	дана	|	1
9	|	Монитор	|	дана	|	26
10	|	Web-камера	|	дана	|	1
11	|	Акустикалық жүйе	|	дана	|	1
12	|	Микрофонды-телефондық гарнитура	|	дана	|	26
13	|	Көпфункциялық құрылғы	|	дана	|	1
14	|	Желілік коммутатор	|	дана	|	1
15	|	Проектор	|	дана	|	1
16	|	Проекторға арналған қабырға бекіткіші	|	дана	|	1
	|	Лингафондық жабдық	|	
17	|	Кабинетке тарататын блок	|	дана	|	1
18	|	Оқушыны басқаратын блок	|	дана	|	25
	|	Мультимедиалық лингофондық кабинетті бағдарламалық қамтамасыз ету
19	|	Кабинетті басқару жүйесі	|	дана	|	1
20	|	Плакаттар мен қабырға стендтерінің жиынтығы	|	жиынтық	|	1
21	|	Дәрі қобдишасы	|	дана	|	1
22	|	Желілік фильтр	|	дана	|	25
23	|	Электрмен жабдықтау қалқаны	|	дана	|	1


18. Техникалық және кәсіптік білім ұйымдарының алғашқы әскери дайындық кабинетіне арналған жабдық, жиһаз, оқытудың техникалық құралдары, құралдардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Оқытушы орындығы	|	дана	|	1
4	|	Екіорындық оқушылар үстелі	|	дана	|	13
5	|	Оқушы орындығы	|	дана	|	25
6	|	Жартылай әйнектелген жабық шкаф	|	дана	|	3
7	|	Жүйелік блок	|	дана	|	1
8	|	Монитор	|	дана	|	1
9	|	Желілік фильтр	|	дана	|	2
10	|	Көпфункциялық құрылғы	|	дана	|	1
11	|	Интерактивті тақта немесе экран	|	дана	|	1
12	|	Проектор	|	дана	|	1
13	|	Проекторға арналған төбе бекіткіші	|	дана	|	1
	|	Баспа және экранды-дыбыстық құраллар	|	
14	|	Плакаттар алғашқы әскери дайындық бойынша жиынтығы	|	жиынтық	|	1
15	|	Азаматтық қорғаныс жөніндегі плакаттар жиынтығы	|	жиынтық	|	1
16	|	Қазақстан Республикасы Қарулы күштерінің ортақ әскери жарғысы	|	жиынтық	|	4
17	|	Электронды оқу басылым "Алғашқы әскери даярлық 10-11 класс"	|	дана	|	1
	|	Тәуліктік кезекшінің міндеттерін практикалық зерделеуге арналған орын
18	|	Ағаш тұғыр (орын тәуліктік кезекшінің)	|	дана	|	1
19	|	Рота бойынша кезекші мен тәуліктік кезекшіге құжаттамасы бар тақта	|	дана	|	1
20	|	Табиғи көлемдегі найза-пышақтың макеті	|	дана	|	1
21	|	Телефон аппараты (макет немесе жұмыс істейтін)	|	дана	|	1
22	|	Тумбочка	|	дана	|	1


19. Техникалық және кәсіптік білім беру ұйымдарының қару және әскери-техникалық мүлік сақтауға арналған бөлмесі жабдықтарының шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жабдық	|		|	
1	|	Өрт сөндіргіш	|	дана	|	1
2	|	Газтұтқыш және әскери-техникалық мүлік сақтау сөресі	|	дана	|	2
3	|	Қару сақтауға арналған шкаф (пирамида)	|	дана	|	1
	|	Әскери-техникалық мүлік	|		|	
4	|	Медициналық дәрі қорап (металл шкафта)	|	дана	|	1
5	|	Габаритті массалы Калашников автоматының орналасуы	|	дана	|	3
6	|	Пневматикалық мылтық (пневматикалық мылтыққа арналған оқ)	|	дана	|	2 бірлік (1000 дана)
7	|	Жалпы әскерлік қорғаныс жиынтығы	|	жиынтық	|	25
8	|	Газтұтқыш ортақәскерлі	|	дана	|	25
9	|	Газтұтқыш азаматтық	|	дана	|	2
10	|	Респиратор	|	дана	|	25
11	|	Әскери химиялық барлау аспабы	|	дана	|	1
12	|	Радиациялық барлау аспабы	|	дана	|	1
13	|	Жеке дозиметрлерді жиынтығы	|	жиынтық	|	1
14	|	Санитарлық зембіл	|	дана	|	1
15	|	Жеке дәрі қобдишасы	|	дана	|	1
16	|	Кіші жаяу әскер күрегі	|	дана	|	13
17	|	Әскерлік компас	|	дана	|	13
18	|	Пневматикалық мылтық атуға арналған нысана қағаз	|	дана	|	13
19	|	Жалауша (қызыл және ақ немесе қызыл мен сары)	|	жиынтық	|	13
20	|	Дулыға болат (каска)	|	дана	|	13
21	|	Қорғаныс костюмі	|	дана	|	2


20. Техникалық және кәсіптік білім беру ұйымдарының алғашқы әскери даярлық қалашығына арналған жабдықтардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
1	|	Саптық дайындықпен айналысуға арналған орын	|	жиынтық	|	1
2	|	Сақшының міндеттерін практикалық зерделеу үшін ұсынылатын жабдық	|	жиынтық	|	1
3	|	Тактикалық дала және атыс қалашығқа арналған жабдық	|	жиынтық	|	1
4	|	Қалашық тактикалық дала және атыс қалашығына арналған жабдық	|	жиынтық	|	1


21. Техникалық және кәсіптік білім беру ұйымдарының атыс тиріне арналған жабдықтардың ұсынылатын шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
1	|	Медициналық дәрі қобдиша (металл шкафта)	|	дана	|	1
2	|	Атыс тиріне арналған жабдық жиынтығы	|	жиынтық	|	1
3	|	Атыс тиріне арналған жиһаз	|	жиынтық	|	1


22. Техникалық және кәсіптік білім беру ұйымдарының өзін-өзі тану кабинеттеріне арналған жабдық, жиһаз, техникалық оқыту құралдарының шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы орындығы	|	дана	|	1
3	|	Екіорындық оқушы үстелі	|	дана	|	13
4	|	Оқушы орындығы	|	дана	|	25
5	|	Оқытушы орындығы	|	дана	|	1
6	|	Шкаф	|	дана	|	3
7	|	Жүйелі блок	|	дана	|	1
8	|	Монитор	|	дана	|	1
9	|	Желілік фильтр	|	дана	|	2
10	|	Көпфункциялық құрылғы	|	дана	|	1
11	|	Проектор	|	дана	|	1
12	|	Проекторға арналған төбе бекіткіші	|	дана	|	1
13	|	Көрнекі құралдар жиынтығы	|	жиынтық	|	
14	|	Демонстрациялық иллюстрациялар, плакаттар жиынтығы	|	жиынтық	|	1
15	|	Сынып кітапханасының жиынтығы	|	жиынтық	|	1


23. Техникалық және арнайы білім беру ұйымдарының орыс тілі және әдебиеті кабинетіне арналған жабдық, жиһаз, техникалық оқыту құралдары, құралдар және керек-жарақтардың шағын тізімі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Оқытушы орындығы	|	дана	|	1
4	|	Екіорындық оқушы үстелі	|	дана	|	13
5	|	Оқушы орындығы	|	дана	|	25
6	|	Шкаф	|	дана	|	2
7	|	Жүйелік блок	|	дана	|	1
8	|	Монитор	|	дана	|	1
9	|	Желілік фильтр	|	дана	|	2
10	|	Көпфункциялық құрылғы	|	дана	|	1
11	|	Проектор	|	дана	|	1
12	|	Проектор үшін төбелік бекіту	|	дана	|	1
	|	Экранды-дыбыстық құрал	|		|	
13	|	Электронды оқулықтар жиынтығы	|	жиынтық	|	1
14	|	DVD-де бейнефильмдер жиынтығы	|	жиынтық	|	1
15	|	Электронды плакаттар жиынтығы	|	жиынтық	|	1
16	|	Анықтамалық және әдістемелік әдебиеттер жиынтығы	|	жиынтық	|	1
17	|	Қабырға стендтерінің жинытығы	|	жиынтық	|	


24. Техникалық және кәсіптік білім беру ұйымдарының физика кабинетіне арналған жабдық, жиһаз, техникалық оқыту құралдары, құралдардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Кабинет жиһазы
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Оқытушы орындығы	|	дана	|	1
4	|	Демонстрациялық үстел	|	дана	|	1
5	|	Зертханалық екіорындық оқушы үстелі	|	дана	|	13
6	|	Оқушы орындығы	|	дана	|	25
7	|	Шкаф	|	дана	|	3
	|	Лаборант бөлмесіне арналған жиһаз	|	
8	|	Үстел	|	дана	|	1
9	|	Орындық	|	дана	|	2
10	|	Ашық шкаф	|	дана	|	1
11	|	Жабық шкаф	|	дана	|	1
12	|	Киім шкафы	|	дана	|	1
	|	Техникалық оқыту құралдары	|	
13	|	Жүйелік блок	|	дана	|	1
14	|	Монитор	|	дана	|	1
15	|	Желілік фильтр	|	дана	|	2
16	|	Көпфункциялық құрылғы	|	дана	|	1
17	|	Проектор	|	дана	|	1
18	|	Проекторға арналған төбе бекіткіші	|	дана	|	1
19	|	Физика бойынша эксперименттерге арналған сандық интерактивтік зертхана	|	жиынтық	|	1
	|	Экранды-дыбыстық оқу құралдары	|	
20	|	Электронды плакаттар жиынтығы	|	жиынтық	|	1
21	|	Электронды оқулық	|	дана	|	2
22	|	физикаға арналған оқу бағдармалық эсперименттер жиынтығы	|	жиынтық	|	1
23	|	Физикалық эксперименттерді 3D модельдеу бағдарламасы	|	дана	|	1
	|	Зертханалық ыдыс және жабдықтар	|	
24	|	Физика кабинетіне арналған зертханалық ыдыстар және керек-жарақтар жинағы	|	жиынтық	|	1
25	|	Тәжірибелерге арналған демонстрациялық аспаптар мен керек-жарақтар жиынтығы	|	жиынтық	|	1
26	|	Тәжірибелерге арналған зертханалық аспаптар мен керек-жарақтар жиынтығы	|	жиынтық	|	1
	|	Қосымша жабдық
27	|	Дәрі қобдишасы	|	дана	|	1
28	|	Ыдыстар мен керек-жарақтарға арналған шкафтарға тұғырлар жиынтығы	|	жиынтық	|	1
	|	Баспа құралдары	|	


25. Техникалық және кәсіптік білім ұйымдарының химия кабинетіне арналған жабдық, жиһаз, техникалық оқыту құралдары, құралдардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Кабинетке арналған жиһаз	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Оқытушы орындығы	|	дана	|	1
4	|	Демонстрациялық үстел	|	дана	|	1
5	|	Зертханалық оқушы үстелі	|	дана	|	13
6	|	Оқушы орындығы	|	дана	|	25
7	|	Жартылай әйнектелген шкаф	|	дана	|	3
	|	Лаборант бөлмесіне арналған жиһаз	|	
8	|	Үстел	|	дана штука	|	1
9	|	Орындық	|	дана	|	2
10	|	Ашық шкаф	|	дана	|	1
11	|	Жабық шкаф	|	дана	|	1
12	|	Киім шкафы	|	дана	|	1
	|	Оқытудың техникалық құралдары	|	
13	|	Жүйелік блок	|	дана штука	|	1
14	|	Монитор	|	дана	|	1
15	|	Желілік фильтр	|	дана	|	2
16	|	Көпфункциялық құрылғы	|	дана	|	1
17	|	Проектор	|	дана штука	|	1
18	|	Проекторға арналған бекіткіш	|	дана	|	1
19	|	Химия пәні бойынша экспериментерге арналған сандық зертхана	|	жиынтық	|	1
20	|	Химия пәні бойынша экспериментерге арналған оқу-бағдарламалық кешен	|	дана	|	1
21	|	Химия кабинетіне арналған табиғи коллекциялар	|	дана	|	1
22	|	Демонстрациялық модельдер	|	дана	|	1
23	|	Химиялық реактивтер жинақтары	|	жинақ	|	1
24	|	Химия кабинетіне арналған химиялық ыдыстар және керек-жарақтар жинағы	|	дана	|	1
25	|	Ыдыстар мен керек-жарақтарға араналған шкафқа тұғырлар жиынтығы	|	жиынтық	|	1
26	|	Тәжірибелерге арналған аспаптар керек-жарақтар	|	дана	|	1
	|	Қосымша жабдық	|	
27	|	Дәрі қобдишасы	|	дана	|	1
28	|	Агрессиялық химиялық заттардан қорғайтын көзілдірік	|	дана	|	1
29	|	Химиялық қорғанысы берік қолғаптар	|	дана	|	25
30	|	Резеңкеленген алжапқыш	|	дана	|	1
31	|	Халат	|	дана	|	25
32	|	Баспа құралдары	|		|	
33	|	Қабырға стендтері мен кестелері	|		|	
34	|	Демонстрациялық сорып шығару шкафы	|	дана	|	1
35	|	Химиялық реактивтерге арналған металл шкаф	|	дана	|	1


26. Техникалық және кәсіптік білім беру ұйымдарының жалпыгуманитарлық пәндер кабинеттеріне арналған жабдық, жиһаз, техникалық оқыту құралдары, құралдардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Оқытушы орындығы	|	дана	|	1
4	|	Екіорындық оқушы орындығы	|	дана	|	8
5	|	Оқушы орындығы	|	дана	|	15
6	|	Жартылай әйнектелген шкаф	|	дана	|	2
	|	Оқытудың техникалық құралдары	|		|	
7	|	Жүйелік блок	|	дана	|	1
8	|	Монитор	|	дана	|	1
9	|	Проектор	|	дана	|	1
10	|	Проекторға арналған төбе бекіткіші	|	дана	|	1
11	|	Анықтамалық, ғылыми және әдістемелік әдебиеттерінің жиынтығы	|	жиынтық	|	1
12	|	Қабырғаға ілетін плакаттар жиынтығы	|	жиынтық	|	1


27. Техникалық және кәсіптік білім беру ұйымдарының әлеуметтік-экономикалық пәндер кабинетіне арналған жабдық, жиһаз, техникалық оқыту құралдары, жабдықтардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Оқытушы орындығы	|	дана	|	1
4	|	Екіорындық оқушы үстелі	|	дана	|	13
5	|	Оқушы орындығы	|	дана	|	25
6	|	Шкаф	|	дана	|	2
	|	Оқытудың техникалық құралдары	|	дана	|	
7	|	Жүйелік блок	|	дана	|	1
8	|	Монитор	|	дана	|	1
9	|	Желілік фильтр	|	дана	|	2
10	|	Көпфункциялық құрылғы	|	дана	|	1
11	|	Проектор	|	дана	|	1
12	|	Проекторға арналған төбе бекіткіші	|	дана	|	1
	|	Көрнекі баспа құралдары	|		|	
13	|	Оқытылатын пән бойынша қабырғаға ілетін плакаттар/карталар жиынтығы	|	жиынтық	|	1
14	|	Анықтамалық, ғылыми және әдістемелік әдебиеттерінің жиынтығы	|	жиынтық	|	1


28. Техникалық және кәсіптік білім беру ұйымдарының курстық және дипломдық жобалау кабинетіне арналған жабдық, жиһаз, техникалық оқыту құралдары, жабдықтардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Оқытушы орындығы	|	дана	|	1
4	|	Екіорындық компьютерлік оқушы үстелі	|	дана	|	13
5	|	Оқушы орындығы	|	дана	|	25
6	|	Шкаф	|	дана	|	3
	|	Компьютерлік жабдық және оргтехника	|	
7	|	Оқытушының жүйелік блогы	|	дана	|	1
8	|	Оқушының жүйелік блогы	|	дана	|	12
9	|	Монитор	|	дана	|	13
10	|	Web-камера	|	дана	|	1
11	|	Акустикалық жүйе	|	дана	|	1
12	|	Микрофонды-телефондық гарнитура	|	дана	|	13
13	|	Көпфункциялық құрылғы	|	дана	|	1
14	|	Желілік коммутатор	|	дана	|	1
15	|	Желілік фильтр	|	дана	|	14
	|	Интерактивті және проекциялық жабдық
16	|	Проектор	|	дана	|	1
17	|	Проекторға арналған төбе бекіткіші	|	дана	|	1
18	|	Мамандықтар бойынша оқу басылымдарының жиынтығы	|	жиынтық	|	1
19	|	Оқу және анықтамалық әдебиеттер жиынтығы	|	жиынтық	|	1
20	|	Мамандықтар бойынша қабырға стендтерінің жиынтығы	|	жиынтық	|	1
	|	Қосымша жабдық	|	
21	|	Дәрі қобдишасы	|	дана	|	1
22	|	Электрмен жабдықтау қалқаны	|	дана	|	1


29. Техникалық және кәсіптік білім беру ұйымдарының «Білім беру» бейіні бойынша жалпыкәсіптік пәндер кабинеттеріне арналған жабдық, жиһаз, техникалық оқыту құралдары, құралдарының шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Кабинет жиһазы	|	
1	|	Тақта/интерактивті/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Оқытушы орындығы	|	дана	|	1
4	|	Екіорындық оқушы үстелі	|	жиынтық	|	13
5	|	Оқушы орындығы	|	жиынтық	|	25
6	|	Жартылай әйнектелген жабық шкаф	|	дана	|	3
	|	Техникалық оқыту құралдары	|	
7	|	Жүйелік блок	|	дана	|	1
8	|	Монитор	|	дана	|	1
9	|	Микрофонды-телефондық гарнитура	|	дана	|	1
10	|	Акустикалық жүйе	|	дана	|	1
11	|	Web-камера	|	дана	|	1
12	|	Желілік фильтр	|	дана	|	2
13	|	Көпфункциялық құрылғы	|	дана	|	1
14	|	Ноутбук	|	дана	|	1
15	|	Проектор	|	дана	|	1
16	|	Проекторға арналған төбе бекіткіші	|	дана	|	1
17	|	Оқу, анықтамалық әдебиеттер жиынтығы	|	жиынтық	|	1


