
БҰЙЫРАМЫН: 1. Мектепке дейінгі, бастауыш, негізгі орта, жалпы орта, техникалық және кәсіптік білім беру ұйымдарын жабдықтармен және жиһазбен жарақтандыру нормаларын бекіту туралы» Қазақстан Республикасы Білім және ғылым Министрінің 2012 жылғы 7 наурыздағы № 97 бұйрығына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 7574 тіркелген, «Егемен Қазақстан» газетінің 2012 жылғы 25 тамыздағы № 551-556 (27629); 2012 жылғы 28 тамыздағы № 557-561 (27634); 2012 жылғы 29 тамыздағы № 562-569 (27642); 2012 жылғы 1 қыркүйектегі № 575-579 (27652); 2012 жылғы 19 қыркүйектегі № 609-614 (27687) сандарында жарияланған) мынадай өзгерістер енгізілсін: тақырып мынадай мазмұнда жазылсын: «Техникалық және кәсіптік білім беру ұйымдарын жабдықтармен және жиһазбен жарақтандыру нормаларын бекіту туралы»; 1-тармақ мынадай мазмұнда жазылсын: «1. Техникалық және кәсіптік білім беру ұйымдарын жабдықтармен және жиһазбен жарақтандыру нормаларын бекіту»; көрсетілген бұйрықпен бекітілген Мектепке дейінгі, бастауыш, негізгі орта, жалпы орта, техникалық және кәсіптік білім беру ұйымдарын жабдықтармен және жиһазбен жарақтандыру нормалары , осы бұйрыққа қосымшаға сәйкес жаңа мазмұнда жазылсын. 2. Кәсіптік-техникалық және орта білімнен кейінгі білім департаменті (Д.Ж. Қаленова) заңнамада белгіленген тәртіппен: 1) осы бұйрықтың белгіленген тәртіппен Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелуін; 2) осы бұйрықтың мемлекеттік тіркелгеннен кейін күнтізбелік он күн ішінде оның көшірмесін мерзімді баспа басылымдарында және «Әділет» ақпараттық-құқықтық жүйесінде ресми жариялауға, сондай-ақ Қазақстан Республикасы нормативтік құқықтық актілерінің Эталондық бақылау банкінде орналастыру үшін «Қазақстан Республикасы Әділет министрлігінің Республикалық құқықтық ақпарат орталығы» шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнына жолдауды; 3) осы бұйрықты Қазақстан Республикасы Білім және ғылым министрлігінің интернет-ресурсында орналастыруды қамтамасыз етсін. 4) осы бұйрық Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркеуден өткеннен кейін он жұмыс күні ішінде Қазақстан Республикасы Білім және ғылым министрлігінің Заң департаментіне осы бұйрықтың 2-тармағының 1) және 2) тармақшаларында көзделген іс-шаралардың орындалуы туралы мәліметтерді ұсынуды қамтамасыз етсін. 3. Осы бұйрықтың орындалуын бақылау Қазақстан Республикасының Білім және ғылым вице-министрі Е.Н. Иманғалиевке жүктелсін. 4. Осы бұйрық алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.

Қазақстан Республикасының Білім және ғылым Министрі                  А. Сәрінжіпов

Қазақстан Республикасы Білім және ғылым Министрінің 2016 жылғы 29 қаңтардағы № 98 бұйрығына қосымша

Қазақстан Республикасы Білім және ғылым Министрінің 2012 жылғы 7 наурыздағы № 97 бұйрығына қосымша

Техникалық және кәсіптік білім беру ұйымдарын жабдық және жиһазбен жабдықтау нормалары

1. Техникалық және кәсіптік білім беру ұйымдарының әкімшілік орын-жайларына арналған жиһаз және жабдықтардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|		|	
1	|	Кітапханашының үстелі	|	жиынтық	|	1
2	|	Оқырмандар формулярларына арналған шкаф	|	дана	|	2
3	|	Шкаф-картотека	|	дана	|	2
4	|	Кітапханалық стеллаж	|	дана	|	15
5	|	Оқырмандардың жұмыс үстелі	|	дана	|	5
6	|	Компьютерлік үстел	|	дана	|	2
7	|	Кресло	|	дана	|	1
8	|	Орындықтар	|	дана	|	15
	|	Техникалық оқыту құралдары	|		|	
9	|	Жүйелік блок	|	дана	|	3
10	|	Монитор	|	дана	|	3
11	|	Желілік фильтр	|	дана	|	6
12	|	Көпфункциялық құрылғы	|	дана	|	1
	|	Кітапхана қоры	|		|	
13	|	Оқу әдебиеті	|	жиынтық	|	1
14	|	Анықтамалық әдебиет	|	жиынтық	|	1
15	|	Басқа басылымдар	|	жиынтық	|	1
16	|	Аудио-видеотека	|	жиынтық	|	1
17	|	Мұқаба жасау жабдығы мен материалдардың жиынтығы	|	жиынтық	|	1
18	|	Кітаптарды жөндеуге және мұқаба жасау жұмысына арналған құралдар мен материалдар	|	жиынтық	|	1
19	|	А-3 форматты көп функциялық құрылғы	|	дана	|	1
20	|	Кітап сканері	|	дана	|	1
21	|	Электронды картотека	|	дана	|	1
22	|	Ақпарат жүйесіне арналған ақпараттық киоск	|	дана	|	1


3. Техникалық және кәсіптік білім беру ұйымдарының акт залының жиһазы мен жабдықтарының шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Сахна жабдығы және жиһаз	|		|	
1	|	Секциялы кресло	|	жиынтық	|	1
2	|	Лекторға арналған трибуна	|	дана	|	1
3	|	Президиумға арналған үстел	|	дана	|	2
4	|	Президиумға арналған үстел немесе кресло	|	дана	|	6
	|	Техникалық құралдар	|		|	
5	|	Проектор	|	дана	|	1
6	|	Проекторға арналған бекіткіш немсе үстел	|	дана	|	1
7	|	Проекциялық экран	|	дана	|	1
	|	Жарық-дыбыс жабдығы	|		|	
8	|	Тірегі бар колонка	|	жиынтық	|	2
9	|	Сымсыз микрофон	|	дана	|	4
10	|	Сымы бар микрофон	|	дана	|	2
11	|	Микрофонға арналға тірек	|	дана	|	4
12	|	Пульт-микшер	|	дана	|	1
13	|	Синтезатор	|	дана	|	1
14	|	Күшейткіш	|	дана	|	1
15	|	Музыкалық орталық	|	дана	|	1
16	|	Концерттік рояль немесе пианино	|	дана	|	1


4. Техникалық және кәсіптік білім беру ұйымдарының дене тәрбиесі оқытушыларының кабинетіне арналған жабдықтар мен жиһаздың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Жиһаз	|		|	
1	|	Тақта/интерактивті тақта/маркерлік тақта	|	дана	|	1
2	|	Үстел	|	дана	|	2
3	|	Орындықтар	|	дана	|	2
4	|	Шкаф	|	дана	|	2
5	|	Медициналық дәрі қобдишасы	|	дана	|	1
	|	Оқытудың техникалық құралдары	|	дана	|	
6	|	Жүйелік блок	|	дана	|	1
7	|	Монитор	|	дана	|	1
8	|	Желілік фильтр	|	дана	|	2
9	|	Көпфункциялық құрылғы	|	дана	|	1
10	|	Іс-әрекеттерді бақылау және бағалау жабдықтары	|	жиынтық	|	1


5. Техникалық және кәсіптік білім беру ұйымдарының спорт бұйымдары мен жабдықтарын сақтауға арналған орынжайлардың жабдықтары мен жиһазының шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
1	|	Спорт бұйымын сақтауға арналған стеллаж	|	дана	|	2


6. Техникалық және кәсіптік білім беру ұйымдарының спорт залына арналған жабдықтардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	
1	|	Гимнастикаға арналған бұйымдар мен жабдықтардың жиынтығы	|	жиынтық	|	1
2	|	Шаңғы тебу және конькимен жүгіруге арналған бұйымдар мен жабдықтар жиынтығы	|	жиынтық	|	1
3	|	Жеңіл атлетикаға арналған бұйымдар мен жабдықтар жиынтығы	|	жиынтық	|	1
4	|	Туризмге арналған бұйымдар мен жабдықтар жиынтығы	|	жиынтық	|	1
5	|	Спорттық ойындарға арналған бұйымдар мен жабдықтар жиынтығы	|	жиынтық	|	1
6	|	Үстел ойындарының жиынтығы	|	жиынтық	|	1


7. Техникалық және кәсіптік білім беру ұйымдарында спорт алаңы жабдықтарының шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
1	|	Торы бар футбол қақпасы	|	дана	|	2
2	|	Шағын футболға арналған торы бар қақпа	|	дана	|	2
3	|	Қалқаны және торы бар баскетбол бағаны	|	дана	|	2
4	|	Торы бар волейбол бағаны	|	дана	|	2
5	|	Металдан жасалған қырлы параллель бөренелер	|	дана	|	2
6	|	Гимнастикалық металл аспа	|	дана	|	2
7	|	Төрешілер мұнарасы	|	дана	|	1
8	|	Ұзындыққа секіруге арналған сектор	|	дана	|	2
9	|	Лақтыруға арналған сектор	|	дана	|	1
10	|	Жеңіл атлетикалық жол	|	дана	|	2


8. Техникалық және кәсіптік білім беру ұйымдарының биология кабинетіне арналған жабдық, жиһаз, техникалық оқыту құралдарының шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Кабинетке арналған жиһаз	|	
1	|	Тақта/интерактивті тақта/маркерлік тақта	|	дана	|	1
2	|	Оқытушы үстелі	|	дана	|	1
3	|	Оқытушы орындығы	|	дана	|	1
4	|	Демонстрациялық үстел	|	дана	|	1
5	|	Оқушы үстелі	|	дана	|	25
6	|	Оқушы орындығы	|	дана	|	25
7	|	Шкаф	|	дана	|	3
	|	Лаборант бөлмесіне арналған жиһаз	|	
8	|	Үстел	|	дана	|	2
9	|	Орындық	|	дана	|	2
10	|	Ашық шкаф	|	дана	|	2
11	|	Жабық шкаф	|	дана	|	2
12	|	Киім шкафы	|	дана	|	1
13	|	Жүйелік блок	|	дана	|	1
14	|	Монитор	|	дана	|	1
15	|	Желілік фильтр	|	дана	|	2
	|	Экрандық-дыбыстық құралдар	|	
16	|	Электронды плакаттар жиынтығы	|	дана	|	1
17	|	Электронды оқу басылымдарының жиынтығы	|	дана	|	2
18	|	Биология бойынша эксперименттерге арналған оқу-бағдарламалық кешен	|	дана	|	1
