ШЕШТІМ:

1. "Сайлау учаскелерін құру туралы" Жаңақорған ауданы әкімінің 2019 жылғы 19 қарашадағы № 1 шешіміне (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 6973 болып тіркелген) келесі өзгеріс енгізілсін:

көрсетілген шешімнің қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда жазылсын.

2. Осы шешімнің орындалуын бақылау "Жаңақорған ауданы әкімінің аппараты" коммуналдық мемлекеттік мекемесінің басшысына жүктелсін.

3. Осы шешім оның алғашқы ресми жарияланған күнінен бастап қолданысқа енгізіледі.


Жаңақорған ауданының әкімі	|	М. Тлеумбетов
"КЕЛІСІЛДІ"Жаңақорған аудандықсайлау комиссиясымен



	|	Жаңақорған ауданының әкімдігі2022 жылғы 9 қыркүйектегі№ 17 шешіміне қосымша
	|	Жаңақорған ауданы әкімінің2019 жылғы 19 қарашадағы№ 1 шешіміне қосымша

Жаңақорған ауданы бойынша сайлау учаскелері

№	|	Сайлау учаскелері	|	Орналасқан жері	|	Сайлау учаскелерінің шекаралары
16	|	№ 319	|	"Қызылорда облысының дене шынықтыру және спорт басқармасының "№ 7 Жаңақорған ауданының олимпиадалық резервтің мамандандырылған балалар-жасөспірімдер мектебі" коммуналдық мемлекеттік мекемесі, Жаңақорған кенті, Әлиасқар Сұлтанов көшесі 2	|	Жаңақорған кенті: Ипподром-20, Тұрсынқожа Шалапов, Әнуар Әбуталіпов, Александр Романов, Қадыр Тағаев, Сердалы Құрымбеков, Сапабек Мұсылманқұлов, Аметжан Байниязов, Ерман Айтбембетов, Сатыбалды Әлібеков, Нақып Ержанов, Сапарбай Сұлтанмұратов, Ипподром-9, Әлиасқар Сұлтанов, Қылышбай Омаров, Орынбай Бидашев, Файзулла Козбаев, Иван Цой, Ералы Белсенбаев, Әли Еламанов, Әлі Исаев, Иса Мұсаев, Рәш Мырзахметов, Бекмахан Дүйсенбаев, Тасболат Мұзафаров, Нұртаза Мырзахметов, Қаржаубек Жарқымбекұлы, Құлан Алдабергенұлы, Әбіласан Әшірбеков, Шаймерден Бәкірұлы, Құдабай Наурызбаев, Нұрберген Тастаев, Айдархан Ержанов, Төлеген Бердібаев, Пархат Әлжанұлы Орғараев, Үсен Дүйсенов, Шазат Мұсахметов, Жамал Құлымбетов, Қырашбай Жақыпов, Дәумен қажы Шоманұлы, Орман Ильясов, Тасан Әбенов, Тобат Құлымбетов, Зұлпыхар Байзақов, Әбдісұлтан Ержігітов, Ергеш Сабырханов, Желкілдек Батыр Бөлтекұлы, Мырзахан Өскенбаев, Ысқақ Жолдыбайұлы, Мәденбек Абылаев көшелері
17	|	№ 320	|	"Манап ауылдық округі әкімі аппаратының "Манап ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Манап ауылы, Жаншора Көпешұлы көшесі 19	|	Манап ауылдық округінің Манап ауылы
18	|	№ 321	|	"Жаманбай батыр ауылдық округі әкімі аппаратының "Бесарық ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Бесарық ауылы, Жүсіп Қыдыров көшесі 4	|	Жаманбай батыр ауылдық округінің Бесарық ауылы
19	|	№ 322	|	"Қаратөбе ауылдық округі әкімі аппаратының "Қаратөбе ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Қаратөбе ауылы, Болдықова Нағима Емішқызы көшесі 17А	|	Қаратөбе ауылдық округінің Қаратөбе ауылы
20	|	№ 323	|	"Кандөз ауылдық округі әкімі аппаратының "Қандөз ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Қандөз ауылы, Жұман Үркімбаев көшесі 25	|	Қандөз ауылдық округінің Қандөз ауылы
21	|	№ 324	|	"Қызылорда облысының білім басқармасының Жаңақорған ауданы бойынша білім бөлімінің "№ 89 негізгі орта мектебі" коммуналдық мемлекеттік мекемесі, Көктөбе ауылы, Тәуелсіздік көшесі 1	|	Көктөбе ауылдық округінің Көктөбе ауылы
22	|	№ 325	|	"Келінтөбе ауылдық округі әкімі аппаратының "Келінтөбе ауылдық клубы" мемлекеттік коммуналдық қазыналық кәсіпорны, Келінтөбе ауылы, Мұхтар Әуезов көшесі 10	|	Келінтөбе ауылдық округінің Келінтөбе ауылы
23	|	№ 326	|	"Аққорған ауылдық округі әкімі аппаратының "Түгіскен ауылдық клубы" мемлекеттік коммуналдық қазыналық кәсіпорны, Түгіскен ауылы, Дінмұхаммед Қонаев көшесі 33	|	Аққорған ауылдық округінің Түгіскен ауылы және Апанқақ елді мекені
24	|	№ 327	|	"Машбек Нәлібаев ауылдық округі әкімі аппаратының "Машбек Нәлібаев ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Ақжол ауылы, Абылайхан даңғылы 8	|	Машбек Нәлібаев ауылдық округінің Ақжол ауылы
25	|	№ 328	|	"Қызылорда облысының білім басқармасының Жаңақорған ауданы бойынша білім бөлімінің "№ 224 орта мектебі" коммуналдық мемлекеттік мекемесі, Ақсуат ауылы, Дәумен Қажы Шоманов көшесі 3	|	Өзгент ауылдық округінің Ақсуат ауылы
26	|	№ 329	|	"Қожакент ауылдық округі әкімі аппаратының "Қожакент ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Қожакент ауылы, Әлжан Төлегенұлы көшесі 10	|	Қожакент ауылдық округінің Қожакент ауылы
27	|	№ 330	|	"Байкенже ауылдық округі әкімі аппаратының "Байкенже ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Байкенже ауылы, Қалкөз Сіргебайұлы көшесі 5	|	Байкенже ауылдық округінің Байкенже ауылы
28	|	№ 331	|	"Қызылорда облысының білім басқармасының Жаңақорған ауданы бойынша білім бөлімінің "№ 255 негізгі орта мектебі" коммуналдық мемлекеттік мекемесі, Билібай ауылы, Әбділла Мүстиярұлы көшесі 1	|	Байкенже ауылдық округінің Билібай ауылы
29	|	№ 332	|	"Жаңарық ауылдық округі әкімі аппаратының "Жаңарық ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Жаңарық ауылы, Жанай Қожантайұлы көшесі 4	|	Жаңарық ауылдық округінің Жаңарық ауылы
30	|	№ 333	|	"Қыркеңсе ауылдық округі әкімі аппаратының "Әбдіғаппар ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Әбдіғаппар ауылы, Төлегетай Сүйінішұлы көшесі 1	|	Қыркеңсе ауылдық округінің Әбдіғаппар ауылы
31	|	№ 334	|	"Қызылорда облысының білім басқармасының Жаңақорған ауданы бойынша білім бөлімінің "М. Қаратаев атындағы № 51 орта мектебі" коммуналдық мемлекеттік мекемесі, Жаңақорған кенті, Жеңіс көшесі 1	|	Жаңақорған кенті: Ахметжан Жанпейісов, Зұлпыхар Мұсаханов, Бексұлтан Байкенжеев, Жеңіс, Бостандық, Достық, Оразбек Қашқынов, Садық (Сыздық) Ахметов, Қалкөз Сейтпенбетов, Анарбек Асанов, Әмір Мәжитов, Шоқан Уәлиханов, Іргебай Сейтенов, Жақат Әбдіреймов, Батырхан Сейтов, Низамеддин Илялетдинов, Исмайыл Сарбасов, Төрехан Біләлов, Мұхамеджан Мұсаев, Сүлеймен Бекенов көшелері
32	|	№ 335	|	"Жаңақорған ауданының мәдениет және тілдерді дамыту бөлімінің "Манап Көкенов атындағы аудандық мәдениет үйі" коммуналдық мемлекеттік қазыналық кәсіпорны, Жаңақорған кенті, Манап Көкенов көшесі 4	|	Жаңақорған кенті: Қорған, Манап Көкенов, Аманкелді Иманов, Сартай Даушеев, Айтмағанбет Нақыпов, Ақмешіт, 25-жол айрығы, Ызғар, Ахмедия Пахырдинов, Мұхтар Нарымбетов, Нәлібай Айдарбеков, Алғашбек Шаухаманов, Мәнсүр Мұсаев, Бегайдар Аралбаев, Орынбай Ахметов көшелері
33	|	№ 336	|	"Қызылорда облысының білім басқармасының Жаңақорған ауданы бойынша білім бөлімінің "№ 56 орта мектебі" коммуналдық мемлекеттік мекемесі, Жаңақорған кенті, Ыбырай Алтынсарин көшесі 47	|	Жаңақорған кенті: Мамат Түйменұлы, Бидаш Ысқақов, Әлімкөл, Маханбет Дәруіш, Ыбырай Алтынсарин, Ғафур Мұхамеджанов, Қалдарбек Әшіров, Қорғантоғай, Санатория, Тұрсынбек Исмайлов, Исмайыл Ысқақов, Нарзилда Қалилаев, Әбіш Шоқыбаев, Қожахмет Ауанов, Әлім Мұхамеджанов, Мүбарак Абдуллаев, Дүкенбай Досжан көшелері
34	|	№ 337	|	"Жаңақорған аграрлы-техникалық колледжі" коммуналдық мемлекеттік қазыналық кәсіпорны, Жаңақорған кенті, Құрманғазы Сағырбаев көшесі 81	|	Жаңақорған кенті: Құрманғазы Сағырбаев, Үрзімат Мәдиев, Байдүйсен Досымұлы, Сүлеймен Қошқаров, Әбдіманап Абылахов, Болашақ, Ордакент, Алдамжар Мұхаммеджанов, Шазында Қарақожаев көшелері
35	|	№ 338	|	"Жаңақорған ауданаралық ауруханасы" шаруашылық жүргізу кұқығындағы мемлекеттік қоммуналдық кәсіпорны, Жаңақорған кенті, Бейімбет Майлин көшесі № 32А (жабық)	|	Жаңақорған кенті
36	|	№ 339	|	"Қызылорда облысының білім басқармасының Жаңақорған ауданы бойынша білім бөлімінің "№ 163 орта мектебі" коммуналдық мемлекеттік мекемесі, Жаңақорған кенті, Оңғарбай көшесі 67	|	Жаңақорған кенті: Бейімбет Майлин, Талғат Бигелдинов, Әлия Молдағұлова, Срайыл Іскендірұлы, Мұхамедқали Есболғанов, Есіркеп Қоңқабаев, Сәдірбай Сапарбаев, Арасат Файзуллаұлы, Тілеу Тотаев, Алдан Аюпов, Сүйіндік Молдалиев, Абдолла Алтый Сүлеймен, Оңғарбай, Сейдан Нұрлыбаев көшелері
37	|	№ 340	|	"Қызылорда облысының білім басқармасының Жаңақорған ауданы бойынша білім бөлімінің "С. Сапарбеков атындағы № 125 орта мектебі" коммуналдық мемлекеттік мекемесі, Жаңақорған кенті, Сығанақ көшесі 1	|	Жаңақорған кенті: Сұлтанбек Қожанов, Мұсахан Жапаров, Аманбай Шонабаев, Әлшекей Бектібаев, Нұрғали Түршекұлы, Әбдіқадыр Хайникеев, Сейдемет Абдреймов, Үндемес Есенбеков, Күлсін Бакирова, Ерман Байзақов, Сүлеймен Мұстафаев, Әлі Тоқсанбаев, Ахмет Шынтаев, Құдас Жүнісбеков, Алаш Жаппасов, Амантай Сатбеков, Оспан Сәдирсламов, Сайфулла Мырзаев, Тынысбек Ысқақов, Тәліп Әлиев, Заманхан Мырзалиев көшелері
38	|	№ 341	|	"Кейден ауылдық округі әкімі аппаратының "Кейден ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Кейден ауылы, Сырдария көшесі 6	|	Кейден ауылдық округінің Кейден ауылы
39	|	№ 342	|	"Қызылқұм" жауапкершілігі шектеулі серіктестігі, "Хорасан-1" кеніші, Байкенже ауылы (жабық)	|	Байкенже ауылдық округінің Байкенже ауылы
40	|	№ 343	|	"СКЗ-U" жауапкершілігі шектеулі серіктестігі, Кейден ауылы (жабық)	|	Кейден ауылдық округінің Кейден ауылы
41	|	№ 367	|	"Жанақорған кенті әкімі аппаратының "Арман мәдениет үйі" коммуналдық мемлекеттік қазыналық кәсіпорны, Жаңақорған кенті, Сығанақ көшесі 9	|	Жаңақорған кенті: Абай Құнанбаев, Сығанақ, Хорасан-Ата, Мұхтар Әуезов, Раушан Әбенқожа, Садықбек Сапарбекұлы көшелері
42	|	№ 368	|	"Шалқия Цинк ЛТД" Акционерлік қоғамы, Шалқия кенті, Мұстафа Шоқай көшесі 32 (жабық)	|	Шалқия кенті



