
«Мемлекеттік мүлік туралы» 2011 жылғы 1 наурыздағы Қазақстан Республикасының Заңы 114-бабының 1-тармағына , «Ұлттық әл-ауқат қоры туралы» 2012 жылғы 1 ақпандағы Қазақстан Республикасының Заңы 4-бабының 2-тармағының 1) тармақшасына және 23-бабының 1-тармағына сәйкес Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДІ : 1. Осы қаулыға қосымшаға сәйкес республикалық мүлік заңнамада белгіленген тәртіппен «Самұрық-Қазына» ұлттық әл-ауқат қоры» акционерлік қоғамының (бұдан әрі – Қор) орналастырылатын акцияларын төлеуге берілсін. 2. Қазақстан Республикасы Қаржы министрлігінің Мемлекеттік мүлік және жекешелендіру комитеті Қормен (келісім бойынша) бірлесіп, осы қаулыдан туындайтын шараларды қабылдасын. 3. Осы қаулы қол қойылған күнінен бастап қолданысқа енгізіледі.


Қазақстан РеспубликасыныңПремьер-Министрі	|	К Мәсімов



	|	Қазақстан РеспубликасыҮкіметінің2014 жылғы 26 желтоқсандағы№ 1383 қаулысынақосымша


«Самұрық-Қазына» ұлттық әл-ауқат қоры» акционерлік қоғамының орналастырылатын акцияларын төлеуге берілетін республикалық мүліктің тізбесі


Р/с№	|	Мүліктің атауы	|	Орналасқан жері	|	Өлшем бірлігі	|	Нөмір
метр	|	дана	|	түгендеу	|	тіркеу
1	|	2	|	3	|	4	|	5	|	6	|	7
25	|	ШП	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-2 ықшам ауданы және И.Балмұханбетов және Жамбыл көшелерінің қиылысы	|		|	2	|	АБ0010098АБ0010099	|	
Алматы облысы
26	|	Қысымы орта жерасты газ құбырлары	|	Алматы облысы, Қарасай ауданы, Үшқоңыр ауылы	|	3900	|		|	050006106	|	
27	|	Қысымы орта жерүсті газ құбырлары	|	Алматы облысы, Қарасай ауданы, Үшқоңыр ауылы	|	10100	|		|	050006107	|	
28	|	ШГТП	|	Алматы облысы, Қарасай ауданы, Үшқоңыр ауылы	|		|	4	|	050006110, 050006111, 050006112,	|	
29	|	Қысымы орта жерүсті газ құбырлары	|	Алматы облысы, Қарасай ауданы, Үлкен Алматы ауылдық округі, Энергетик кенті	|	3500	|		|	050006113	|	
Атырау облысы
30	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Атырау жолдары ықшам ауданы	|	796	|		|	АР0001353	|	11/04.35-1/10993 24.01.2011ж
31	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Атырау жолдары ықшам ауданы	|	225,2	|		|	АР0001354	|	11/04.35-1/10603 21.01.2011 ж
32	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Атырау жолдары ықшам ауданы	|	42	|		|	АР0001355	|	11/04.35-1/10141 20.01.2011 ж
33	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Нысанбаев көшесі	|	12	|		|	АР0001356	|	11/04.35-1/11627 03.02.2011ж
34	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Товарищеский көшесі	|	302,14	|		|	АР0001357	|	11/04.35-1/10373 21.01.2011ж
35	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, П. Морозов көшесі	|	49,4	|		|	АР0001358	|	11/04.35-1/10055 20.01.2011 ж
36	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, П. Морозов көшесі	|	310	|		|	АР0001359	|	11/04.35-1/10366 21.01.2011 ж
37	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, П. Морозов көшесі	|	134	|		|	АР0001360	|	11/04.35-1/10505 21.01.2011ж
38	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, П. Морозов көшесі	|	179,48	|		|	АР0001361	|	11/04.35-1/10081 20.01.2011ж
39	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Құрманғалиев көшесі	|	22	|		|	АР0001362	|	11/04.35-1/10674 21.01.2011ж
40	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, М.Қазырет көшесі	|	418	|		|	АР0001363	|	11/04.35-1/10520 21.01.2011 ж
41	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	831,16	|		|	АР0001364	|	11/04.35-1/11551 02.02.2011 ж
42	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	570,22	|		|	АР0001365	|	11/04.35-1/10393 21.01.2011 ж
43	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	6	|		|	АР0001366	|	11/04.35-1/10215 20.01.2011 ж
44	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	461,14	|		|	АР0001367	|	11/04.35-1/10448 21.01.2011 ж
45	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	672,92	|		|	АР0001368	|	11/04.35-1/10151 20.01.2011ж
46	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	314,16	|		|	АР0001369	|	11/04.35-1/10122 20.01.2011ж
47	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	576,9	|		|	АР0001370	|	11/04.35-1/10212 20.01.2011ж
48	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	202	|		|	АР0001371	|	11/04.35-1/10460 21.01.2011ж
49	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	157,62	|		|	АР0001372	|	11/04.35-1/10417 21.01.2011ж
50	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	10	|		|	АР0001373	|	11/04.35-1/11542 02.02.2011ж
51	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	473,38	|		|	АР0001374	|	11/04.35-1/10187 20.01.2011ж
52	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	180	|		|	АР0001375	|	11/04.35-1/11139 .01.2011ж
53	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	201,98	|		|	АР0001376	|	11/04.35-1/10103 20.01.2011ж
54	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	2 563,46	|		|	АР0001377	|	11/04.35-1/10008 20.01.2011ж
55	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Водников ауылы	|	98,44	|		|	АР0001378	|	11/04.35-1/10426 21.01.2011 ж
56	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	380,4	|		|	АР0001379	|	11/04.35-1/10661 21.01.2011ж
57	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	90,4	|		|	АР0001380	|	11/04.35-1/10590 21.01.2011 ж
58	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	80,4	|		|	АР0001381	|	11/04.35-1/10671 21.01.2011 ж
59	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	124,6	|		|	АР0001382	|	11/04.35-1/10002 20.01.2011ж
60	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	973,4	|		|	АР0001383	|	11/04.35-1/11073 25.01.2011ж
