ШЕШТІ:

1. "2021-2023 жылдарға арналған қалалық бюджет туралы" 2020 жылғы 23 желтоқсандағы Тараз қалалық мәслихатының №66-3 шешіміне (Нормативтік құқықтық актілердің мемлекеттік тіркеу тізілімінде №4875 болып тіркелген) келесі өзгерістер енгізілсін:

1 тармақ жаңа редакцияда мазмұндалсын:

"1) 2021-2023 жылдарға арналған қалалық бюджет тиісінше осы шешімге 1, 2 және 3 қосымшаларға сәйкес, оның ішінде 2021 жылға мынадай көлемдерде бекітілсін:

1) кірістер – 61 825 116 мың теңге, оның ішінде:

салықтық түсімдер – 14 872 926 мың теңге;

негізгі капиталды сатудан түскен түсімдер – 3 878 080 мың теңге;

трансферттер түсімі– 42 906 953 мың теңге;

2) шығындар – 74 711 526 мың теңге;

5) бюджет тапшылығы (профициті) – -13 563 598 мың теңге;

6) бюджет тапшылығын қаржыландыру (профицитін пайдалану) – 13 563 598 мың теңге:

қарыздар түсімі – 16 050 133 мың теңге;

қарыздарды өтеу – 4 799 988 мың теңге".

2 тармақ жаңа редакцияда мазмұндалсын:

"2. 2021 жылға арналған қала әкімдігінің резерві 778 334 мың теңге сомасында бекітілсін".

Көрсетілген шешімнің 1 қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда мазмұндалсын.

2. Осы шешім 2021 жылдың 1 қаңтарынан қолданысқа енгізіледі.


Тараз қалалық мәслихаты
сессиясының төрағасы	|	А. Абделі
Тараз қалалық
мәслихатының хатшысы	|	Б. Кулекеев
	|		|	001	|	Аудан (облыстық маңызы бар қала) әкімінің қызметін қамтамасыз ету жөніндегі қызметтер	|	354532
	|		|	003	|	Мемлекеттік органның күрделі шығыстары	|	14370
	|		|	009	|	Ведомстволық бағыныстағы мемлекеттік мекемелер мен ұйымдардың күрделі шығыстары	|	8650
	|	452	|		|	Ауданның (облыстық маңызы бар қаланың) қаржы бөлімі	|	124457
	|		|	001	|	Ауданның (облыстық маңызы бар қаланың) бюджетін орындау және коммуналдық меншігін басқару саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	48960
	|		|	003	|	Салық салу мақсатында мүлікті бағалауды жүргізу	|	11550
	|		|	010	|	Жекешелендіру, коммуналдық меншікті басқару, жекешелендіруден кейінгі қызмет және осыған байланысты дауларды реттеу	|	2835
	|		|	018	|	Мемлекеттік органның күрделі шығыстары	|	612
	|		|	028	|	Коммуналдық меншікке мүлікті сатып алу	|	60500
	|	453	|		|	Ауданның (облыстық маңызы бар қаланың) экономика және бюджеттік жоспарлау бөлімі	|	59543
	|		|	001	|	Экономикалық саясатты, мемлекеттік жоспарлау жүйесін қалыптастыру және дамыту саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	58429
	|		|	004	|	Мемлекеттік органның күрделі шығыстары	|	1114
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	152541
	|		|	001	|	Жергілікті деңгейде тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	151541
	|		|	013	|	Мемлекеттік органның күрделі шығыстары	|	1000
	|	494	|		|	Ауданның (облыстық маңызы бар қаланың) кәсіпкерлік және өнеркәсіп бөлімі	|	33411
	|		|	001	|	Жергілікті деңгейде кәсіпкерлікті және өнеркәсіпті дамыту саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	32422
	|		|	003	|	Мемлекеттік органның күрделі шығыстары	|	989
02	|		|		|	Қорғаныс	|	53378
	|	122	|		|	Аудан (облыстық маңызы бар қала) әкімінің аппараты	|	53378
	|		|	005	|	Жалпыға бірдей әскери міндетті атқару шеңберіндегі іс-шаралар	|	11851
	|		|	006	|	Аудан (облыстық маңызы бар қала) ауқымындағы төтенше жағдайлардың алдын алу және оларды жою	|	41527
03	|		|		|	Қоғамдық тәртіп, қауіпсіздік, құқықтық, сот, қылмыстық-атқару қызметі	|	249359
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	249359
	|		|	021	|	Елдi мекендерде жол қозғалысы қауiпсiздiгін қамтамасыз ету	|	249359
06	|		|		|	Әлеуметтiк көмек және әлеуметтiк қамсыздандыру	|	5997607
	|	451	|		|	Ауданның (облыстық маңызы бар қаланың) жұмыспен қамту және әлеуметтік бағдарламалар бөлімі	|	2826193
	|		|	005	|	Мемлекеттік атаулы әлеуметтік көмек	|	2826193
	|	451	|		|	Ауданның (облыстық маңызы бар қаланың) жұмыспен қамту және әлеуметтік бағдарламалар бөлімі	|	2745604
	|		|	002	|	Жұмыспен қамту бағдарламасы	|	1094826
	|		|	006	|	Тұрғын үйге көмек көрсету	|	200000
	|		|	007	|	Жергілікті өкілетті органдардың шешімі бойынша мұқтаж азаматтардың жекелеген топтарына әлеуметтік көмек	|	334788
	|		|	010	|	Үйден тәрбиеленіп оқытылатын мүгедек балаларды материалдық қамтамасыз ету	|	20550
	|		|	013	|	Белгіленген тұрғылықты жері жоқ тұлғаларды әлеуметтік бейімдеу	|	155040
	|		|	014	|	Мұқтаж азаматтарға үйде әлеуметтiк көмек көрсету	|	303512
	|		|	017	|	Оңалтудың жеке бағдарламасына сәйкес мұқтаж мүгедектердi мiндеттi гигиеналық құралдармен қамтамасыз ету, қозғалуға қиындығы бар бірінші топтағы мүгедектерге жеке көмекшінің және есту бойынша мүгедектерге қолмен көрсететiн тіл маманының қызметтерін ұсыну	|	418593
	|		|	023	|	Жұмыспен қамту орталықтарының қызметін қамтамасыз ету	|	218295
	|	451	|		|	Ауданның (облыстық маңызы бар қаланың) жұмыспен қамту және әлеуметтік бағдарламалар бөлімі	|	375810
	|		|	001	|	Жергілікті деңгейде халық үшін әлеуметтік бағдарламаларды жұмыспен қамтуды қамтамасыз етуді іске асыру саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	101274
	|		|	011	|	Жәрдемақыларды және басқа да әлеуметтік төлемдерді есептеу, төлеу мен жеткізу бойынша қызметтерге ақы төлеу	|	5000
	|		|	021	|	Мемлекеттік органның күрделі шығыстары	|	263
	|		|	050	|	Қазақстан Республикасында мүгедектердің құқықтарын қамтамасыз етуге және өмір сүру сапасын жақсарту	|	266000
	|		|	054	|	Үкіметтік емес ұйымдарда мемлекеттік әлеуметтік тапсырысты орналастыру	|	2400
	|		|	067	|	Ведомстволық бағыныстағы мемлекеттік мекемелер мен ұйымдардың күрделі шығыстары	|	873
	|	467	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	50000
	|		|	094	|	Әлеуметтік көмек ретінде тұрғын үй сертификаттарын беру	|	50000
07	|		|		|	Тұрғын үй-коммуналдық шаруашылық	|	30707962
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	8813
	|		|	002	|	Мемлекеттiк қажеттiлiктер үшiн жер учаскелерiн алып қою, соның iшiнде сатып алу жолымен алып қою және осыған байланысты жылжымайтын мүлiктi иелiктен айыру	|	8813
	|	463	|		|	Ауданның (облыстық маңызы бар қаланың) жер қатынастары бөлімі	|	127345
	|		|	016	|	Мемлекет мұқтажы үшін жер учаскелерін алу	|	127345
	|	467	|		|	Ауданның (облыстық маңызы бар қаланың) құрылыс бөлімі	|	22879011
	|		|	003	|	Коммуналдық тұрғын үй қорының тұрғын үйін жобалау және (немесе) салу, реконструкциялау	|	16167232
	|		|	004	|	Инженерлік-коммуникациялық инфрақұрылымды жобалау, дамыту және (немесе) жайластыру	|	5778047
	|		|	098	|	Коммуналдық тұрғын үй қорының тұрғын үйлерін сатып алу	|	933732
	|	491	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй қатынастары бөлімі	|	2893440
	|		|	001	|	Жергілікті деңгейде тұрғын үй қоры саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	133233
	|		|	003	|	Мемлекеттік органның күрделі шығыстары	|	15854
	|		|	005	|	Мемлекеттік тұрғын үй қорын сақтауды ұйымдастыру	|	40698
	|		|	006	|	Азаматтардың жекелеген санаттарын тұрғын үймен қамтамасыз ету	|	11767
	|		|	081	|	Кондоминиум объектілерінің ортақ мүлкіне күрделі жөндеу жүргізуге кредит беру	|	2691888
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	529763
	|		|	012	|	Сумен жабдықтау және су бұру жүйесінің жұмыс істеуі	|	382602
	|		|	026	|	Ауданның (облыстық маңызы бар қаланың) коммуналдық меншігіндегі жылу жүйелерін қолдануды ұйымдастыру	|	57780
	|		|	028	|	Коммуналдық шаруашылығын дамыту	|	43638
	|		|	029	|	Сумен жабдықтау және су бұру жүйелерін дамыту	|	8450
	|		|	048	|	Қаланы және елді мекендерді абаттандыруды дамыту	|	37293
	|	467	|		|	Ауданның (облыстық маңызы бар қаланың) құрылыс бөлімі	|	505242
	|		|	006	|	Сумен жабдықтау және су бұру жүйесін дамыту	|	504242
	|		|	007	|	Қаланы және елді мекендерді абаттандыруды дамыту	|	1000
