
1. Қоса беріліп отырған «Білім туралы» Қазақстан Республикасының Заңына өзгерістер мен толықтырулар енгізу туралы» Қазақстан Республикасының 2011 жылғы 24 қазандағы Заңын іске асыру мақсатында қабылдануы қажет нормативтік құқықтық актілердің тізбесі (бұдан әрі – тізбе) бекітілсін. 2. Қазақстан Республикасы Білім және ғылым министрлігі: 1) тізбеге сәйкес нормативтік құқықтық актілердің жобаларын әзірлесін және заңнамада белгіленген тәртіппен Қазақстан Республикасының Үкіметіне бекітуге енгізсін; 2) тиісті ведомстволық нормативтік құқықтық актілерді қабылдасын және қабылданған шаралар туралы Қазақстан Республикасының Үкіметін хабардар етсін.

Премьер-Министр                            К. Мәсімов

Қазақстан Республикасы Премьер-Министрінің 2011 жылғы 21 желтоқсандағы № 153-ө өкімімен бекітілген

«Білім туралы» Қазақстан Республикасының Заңына өзгерістер мен толықтырулар енгізу туралы» Қазақстан Республикасының 2011 жылғы 24 қазандағы Заңын іске асыру мақсатында қабылдануы қажет нормативтік құқықтық актілердің тізбесі


Р/с№	|	Нормативтік құқықтықактінің атауы	|	Актініңнысаны	|	Орындауға жауаптымемлекеттікоргандар	|	Орындалумерзімі
18	|	«Қазақстан Республикасы Білім және ғылым министрлігінiң мәселелерi» туралы Қазақстан Республикасы Үкіметінің 2004 жылғы 28 қазандағы № 1111қаулысынаөзгерістер мен толықтырулар енгізу туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	БҒМ	|	2011 жылғы желтоқсан
19	|	«Білім беру қызметіне қойылатын лицензиялау ережесі мен оған қойылатын біліктілік талаптарын бекіту туралы» Қазақстан Республикасы Үкіметінің 2007 жылғы 2 маусымдағы № 452қаулысынаөзгерістер енгізу туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	БҒМ	|	2011 жылғы желтоқсан
20	|	Білім алушыларды қорытынды аттестаттаудың кейбір мәселелері туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	БҒМ	|	2011 жылғы желтоқсан
21	|	Қазақстан Республикасы Үкіметінің кейбір шешімдерінің күші жойылды деп тану туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	БҒМ	|	2011 жылғы желтоқсан
22	|	Балалар музыка мектептерінің, балалар көркемөнер мектептерінің және балалар өнер мектептерінің үлгілік оқу жоспарлары мен бағдарламаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
23	|	Ұлттық бірыңғай тестілеуді және кешенді тестілеуді өткізудің қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
24	|	Қазақстан Республикасы жоғары оқу орындары дайындық бөлімдерінің қызметін ұйымдастыру қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
25	|	Мектепке дейінгі, бастауыш, негізгі орта, жалпы орта, техникалық және кәсіптік білім беру ұйымдарын жабдықпен және жиһазбен жарақтандыру нормаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
26	|	Оқулықтарды, оқу-әдiстемелiк кешендері мен оқу-әдiстемелiк құралдарын дайындау, оларға сараптама, сынақ өткізу және мониторинг жүргізу, оларды басып шығару жөнiндегi жұмысты ұйымдастыру қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
27	|	Бiлiм беру ұйымдарында пайдалануға рұқсат етiлген оқулықтардың, оқу-әдiстемелiк кешендерiнің, оқу құралдарының және басқа да қосымша әдебиеттердiң, оның iшiнде электрондық жеткiзгiштердегі тізбесін бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
28	|	Жаратылыстану-математика циклы пәндері бойынша Президенттік олимпиаданы, жалпы білім беретін пәндер бойынша республикалық олимпиадалар мен ғылыми жобалар конкурстарын, орындаушылардың республикалық конкурстары мен кәсіби шеберлік конкурстарын ұйымдастырудың және өткізудің қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
29	|	Жалпы білім беретін пәндер бойынша республикалық және халықаралық олимпиадалар мен ғылыми жобалар конкурстарының (ғылыми жарыстардың), орындаушылар конкурстарының, кәсіби шеберлік конкурстарының және спорттық жарыстардың тізбесін бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
30	|	Мемлекеттік орта білім беру мекемелерінің басшыларын конкурстық тағайындау қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
31	|	«Шетелге оқуға жіберу ережесін бекіту туралы» Қазақстан Республикасы Білім және ғылым министрінің 2008 жылғы 19 қарашадағыбұйрығынаөзгерістер мен толықтырулар енгізу туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
32	|	Мектепке дейінгі тәрбие мен оқытуға, техникалық және кәсiптiк, орта бiлiмнен кейiнгi, жоғары және жоғары оқу орнынан кейiнгi бiлiмi бар мамандарды даярлауға, сондай-ақ жоғары оқу орындарының дайындық бөлімдеріне мемлекеттiк бiлiм беру тапсырысын орналастырудың қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
33	|	Білім беру ұйымдарында эксперимент режимінде іске асырылатын білім беретін оқу бағдарламаларын әзірлеу, сынақтан өткізу және енгізу қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
34	|	Бірыңғай ақпараттық білім беру жүйесін ұйымдастыру және оның жұмыс істеу қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
35	|	«Болашақ» халықаралық стипендиясы бойынша шығыстар нормаларын, оқуға және тағылымдамадан өтуге арналған үлгілік шарттарды бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
36	|	Білім беру ұйымдары түрлерінің номенклатурасын және олардың қызметінің, оның ішінде аз жасақталған мектептердегі қызметтің үлгілік қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
37	|	Мемлекеттік білім беру тапсырысына байланысты көрсетілетін қызметтер тізбесін бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
38	|	Орта білім беру ұйымдарында психологиялық қызметтің жұмыс істеу қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
39	|	Білім беру ұйымдарының ішкі тәртібінің үлгілік қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
40	|	Орта, техникалық және кәсіптік білім берудің жан басына шаққандағы нормативтік қаржыландыру әдістемесін бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
41	|	Орта, техникалық және кәсіптік білім берудің жан басына шаққандағы қаржыландыру қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
42	|	Біліктілікті арттырудың ваучерлік-модульдік жүйесінің әдістемесін бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
43	|	Педагогтардың біліктілік деңгейін растау қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
44	|	Базалық жоғары оқу орындарында магистрлер мен PhD докторларын мақсатты даярлау тетігін бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
45	|	Мемлекеттік жоғары оқу орындарының ректорларын тағайындау қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
46	|	Университеттік интернет-ресурстарына қойылатын талаптарды бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
47	|	Мектеп-интернаттарға, бейіндік мектептерге қойылатын техникалық талаптарды бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан
48	|	Біліктілікті қамтамасыз ету және оны қашықтықтан арттыру қағидаларын бекіту туралы	|	Бұйрық	|	БҒМ	|	2011 жылғы желтоқсан


Ескертпе: аббревиатураны ң толы қ жазылуы:

БҒМ - Қазақстан Республикасы Білім және ғылым министрлігi

