
"Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 31 бабына , "Халықты жұмыспен қамту туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 20 бабына , "Халықты жұмыспен қамту туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңын іске асыру жөніндегі шаралар туралы" Қазақстан Республикасы Үкіметінің 2001 жылғы 19 маусымдағы N 836 қаулысымен бекітілген "Қоғамдық жұмыстарды ұйымдастыру мен қаржыландырудың ережесіне" сәйкес Қарағанды қаласының әкімдігі ҚАУЛЫ ЕТЕДІ: 1. "2011 жылға арналған қоғамдық жұмыстарды ұйымдастыратын Қарағанды қаласы кәсіпорындарының, ұйымдарының, мекемелерінің тізбесін бекіту туралы" Қарағанды қаласы әкімдігінің 2010 жылғы 14 желтоқсандағы N 60/09 қаулысына нормативтік құқықтық актілердің тізілімінде 8-1-125 нөмірімен тіркелді, 2011 жылғы 11 қаңтарында "Индустриальная Караганда" N 2 (21 016), "Орталық Қазақстан" N 3 (20 998) газеттерінде жарияланды) келесі өзгеріс енгізілсін: аталған қаулының қосымшасы жаңа редакцияда осы қаулының қосымшасына сәйкес оқылсын. 2. Осы қаулының орындалуын бақылау Қарағанды қаласы әкімінің орынбасары И.Ю. Любарскаяға жүктелсін. 3. Осы қаулы ресми жарияланған күннен бастап қолданысқа енеді.

Қала әкімі                                 Б. Әбдішев

Қарағанды қаласы әкімдігінің 2011 жылғы 28 шілдедегі N 33/02 қаулысына қосымша

Қарағанды қаласы әкімдігінің 2010 жылғы 14 желтоқсандағы N 60/09 қаулысына қосымша

2011 жылға арналған қоғамдық жұмыстарды ұйымдастыратын Қарағанды қаласы кәсіпорындарының, ұйымдарының, мекемелерінің тізбесі


N р/с	|	Мекемелердің атауы	|	адам саны	|	жұмыс түрлері	|	Қаржыландыру көзі	|	жұмыс көлемі, теңге	|	Қатысу мерзімі, ай
17	|	"Қарағанды қаласының кәсіпкерлік бөлімі" мемлекеттік мекемесі	|	30	|	Дағдарысқа қарсы бағдарламаларды орындау бойынша құжаттарды өңдеу	|	Қарағанды қаласының бюджеті	|	1919880	|	2
18	|	"Қарағанды қаласының жұмыспен қамту және әлеуметтік бағдарламалар бөлімі" мемлекеттік мекемесі	|	89	|	Әлеуметтік төлемдер алуға құқығы бар азаматтарды анықтау мақсатында аула аралау, қаланың әлеуметтік картасын нақтылау, құжаттарды өңдеу	|	Қарағанды қаласының бюджеті	|	5726688	|	2
19	|	Қазыбек би атындағы ауданның үйде әлеуметтік көмек көрсету бөлімі	|	37	|	Аула аралау, әлеуметтік картаны нақтылау, тексеру актілерін құру, құжаттар өңдеу, аудан бойынша жалғыз тұратын қарт адамдарды анықтау	|	Қарағанды қаласының бюджеті	|	2367852	|	2
20	|	Октябрь ауданының үйде әлеуметтік көмек көрсету бөлімі	|	41	|	Аула аралау, әлеуметтік картаны нақтылау, тексеру актілерін құру, құжаттар өңдеу, аудан бойынша жалғыз тұратын қарт адамдарды анықтау	|	Қарағанды қаласының бюджеті	|	2623836	|	2
21	|	"Қарағанды қаласының мәдениет және тілдерді дамыту бөлімі" мемлекеттік мекемесі	|	20	|	"Мекенжай тіркелімі" дерекқорындағы мекенжайлық ақпаратты нақты бар ақпаратпен салыстыру	|	Қарағанды қаласының бюджеті	|	1279920	|	2
22	|	"Қарағанды қаласының қаржы бөлімі" мемлекеттік мекемесі	|	20	|	Коммуналдық меншік объектілерін түгендеу жұмыстары, мұрағатқа өткізілетін құжаттарды өңдеу	|	Қарағанды қаласының бюджеті	|	1279920	|	2
23	|	Қарағанды хайуанаттар бағы	|	10	|	Көркейту, аймақтарды тазалау	|	Қарағанды қаласының бюджеті	|	639960	|	2
24	|	"Қарағанды қаласының білім бөлімі" мемлекеттік мекемесі	|	40	|	Құжаттарды өңдеу	|	Қарағанды қаласының бюджеті	|	2559840	|	2
25	|	Қарағанды облысының ішкі істер департаменті	|	24	|	Бейнебақылау жүйесіндегі жедел басқару орталығында жұмыс жасау	|	Қарағанды қаласының бюджеті	|	1535904	|	2
26	|	Қарағанды облысының жұмыспен қамтуды үйлестіру және әлеуметтік бағдарламалар басқармасы	|	48	|	Жұмыссыздықтың өсуін болдырмау бойынша дағдарысқа қарсы шараларды жүзеге асыру бойынша құжаттарды өңдеу	|	Қарағанды қаласының бюджеті	|	3071808	|	2
27	|	"Қарағанды қаласының құрылыс бөлімі" мемлекеттік мекемесі	|	20	|	Құжаттарды өңдеу жұмысы, электрондық базаны жүргізу	|	Қарағанды қаласының бюджеті	|	1279920	|	2
