"Мемлекеттік мүлік туралы" 2011 жылғы 1 наурыздағы Қазақстан Республикасының Заңы 114-бабының 1-тармағына , "Ұлттық әл-ауқат қоры туралы" 2012 жылғы 1 ақпандағы Қазақстан Республикасының Заңы 23-бабының 1-тармағына сәйкес Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДІ :

1. Осы қаулыға қосымшаға сәйкес газбен жабдықтау объектілері Қазақстан Республикасының заңнамасында белгіленген тәртіппен "Самұрық-Қазына" ұлттық әл-ауқат қоры" акционерлік қоғамының (бұдан әрі – қор) орналастырылатын акцияларын төлеуге берілсін.

2. Қазақстан Республикасы Қаржы министрлігінің Мемлекеттік мүлік және жекешелендіру комитеті қормен (келісу бойынша) бірлесіп, осы қаулыдан туындайтын шараларды қабылдасын.

3. Осы қаулы қол қойылған күнінен бастап қолданысқа енгізіледі.


Қазақстан РеспубликасыныңПремьер-Министрі	|	А. Мамин





	|	Қазақстан РеспубликасыҮкіметінің2021 жылғы 18 қаңтардағы№ 13 қаулысынақосымша

"Самұрық-Қазына" ұлттық әл-ауқат қоры" акционерлік қоғамының орналастырылатын акцияларын төлеуге берілетін газбен жабдықтау объектілерінің тізбесі

Р/с№	|	Мүліктің атауы  (жоғары, орта және төмен қысымды газ құбырлары мен олардағы құрылыс нысандары)*	|	Орналасқан жері (көше, ауыл, аудан, қала)	|	Түгендеу/кадастрлық нөмірі
1	|	"Талдықорған қаласының газ тарату желілері" (құрылыстың I кезегі 2-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:188
2	|	"Талдықорған қаласының газ тарату желілері. Пәтерішілік газбен жабдықтау желілері" (құрылыстың I-кезегі 3-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:189
3	|	"Талдықорған қаласының газ тарату желілері. Пәтерішілік газбен жабдықтау желілері" (құрылыстың I кезегі 4-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:190
4	|	"Талдықорған қаласының газ тарату желілері. Пәтерішілік газбен жабдықтау желілері" (құрылыстың I кезегі 5-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:191
5	|	"Талдықорған қаласының газ тарату желілері. Пәтерішілік газбен жабдықтау желілері" (құрылыстың I кезегі 6-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:192
6	|	"Талдықорған қаласының газ тарату желілері. Пәтерішілік газбен жабдықтау желілері" (құрылыстың I кезегі 8-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:193
7	|	"Талдықорған қаласының газ тарату желілері. Пәтерішілік газбен жабдықтау желілері" (құрылыстың II кезегі 8-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:194
8	|	"Талдықорған қаласының газ тарату желілері. Пәтерішілік газбен жабдықтау желілері" (құрылыстың II кезегі 9-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:195
9	|	"Талдықорған қаласының газ тарату желілері" (құрылыстың II кезегі 10-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:196
10	|	"Талдықорған қаласының газ тарату желілері. Пәтерішілік газбен жабдықтау желілері" (құрылыстың II кезегі 10-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:197
