Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДI:

1. "Бөлшек салықтың арнаулы салық режимін қолдану мақсаттары үшін қызмет түрлерін айқындау және "Бөлшек салықтың арнаулы салық режимін қолдану мақсаттары үшін қызмет түрлерін айқындау туралы" Қазақстан Республикасы Үкіметінің 2021 жылғы 2 ақпандағы № 30 қаулысына өзгерістер енгізу туралы" Қазақстан Республикасы Үкіметінің 2022 жылғы 17 қарашадағы № 912 қаулысының күші жойылды деп тану туралы" Қазақстан Республикасы Үкіметінің 2023 жылғы 22 мамырдағы № 393 қаулысына мынадай өзгеріс енгізілсін:

көрсетілген қаулыға қосымша осы қаулыға қосымшаға сәйкес жаңа редакцияда жазылсын.

2. Осы қаулы алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Қазақстан РеспубликасыныңПремьер-Министрі	|	Ә. Смайылов



	|	Қазақстан Республикасы
	|	Үкіметінің
	|	2023 жылғы 29 желтоқсандағы№ 1240 қаулысынақосымша
	|	Қазақстан РеспубликасыҮкіметінің2023 жылғы 22 мамырдағы№ 393 қаулысынақосымша

Бөлшек салықтың арнаулы салық режимін қолдану мақсаттары үшін қызмет түрлері

Р/с№	|	ЭҚЖЖ	|	Қызмет түрлері
66	|	25.50.1	|	Соққылап өңдеу, сығымдау, қалыптау және бейіндеу арқылы дайын металл бұйымдары немесе жартылай фабрикаттар өндірісі
67	|	25.62.0	|	Машина жасаудың негізгі технологиялық процестері
68	|	25.71.0	|	Пышақ бұйымдары өндірісі
69	|	25.73.1	|	Металл және ағаш өңдеу құралдары өндірісі
70	|	25.99.2	|	Металдан жасалған шаруашылық ыдыс пен ас үй бұйымдары өндірісі
71	|	25.99.9	|	Өзге дайын металл бұйымдары өндірісі
72	|	26.51.5	|	Физикалық зерттеулерге арналған аспаптар өндірісі
73	|	26.70.2	|	Фото- және киножабдықтар өндірісі
74	|	27.11.0	|	Электр қозғалтқыштар, генераторлар және трансформаторлар өндірісі
75	|	27.33.0	|	Электрмонтаж құрылғылары өндірісі
76	|	27.40.2	|	Жарықтандыру құралдары өндірісі
77	|	27.90.9	|	Өзге топтамаларға енгізілмеген басқа электр жабдықтары өндірісі
78	|	28.13.1	|	Вакуум және әуе сорғылары өндірісі
79	|	28.21.1	|	Электрлік емес пештер, жанарғылар және пештерге арналған құрылғылар өндірісі
80	|	28.25.2	|	Ауа баптағыштар, желдеткіштер өндірісі
81	|	30.92.2	|	Мүгедектерге арналған арбалар/креслолар өндірісі
82	|	31.01.1	|	Орындықтар мен отыруға арналған басқа жиһаз өндірісі
83	|	31.01.2	|	Орындықтар мен отыруға арналған басқа жиһаздан басқа, офистер мен сауда кәсіпорындары үшін жиһаз өндірісі
84	|	31.02.0	|	Ас үй жиһазы өндірісі
85	|	31.03.0	|	Матрастар өндірісі
86	|	31.09.0	|	Өзге жиһаздар өндірісі
87	|	32.12.0	|	Зергерлік және соған ұқсас бұйымдар өндірісі
88	|	32.13.0	|	Бижутерия және соған ұқсас бұйымдар өндірісі
89	|	32.20.0	|	Музыкалық аспаптар өндірісі
90	|	32.30.0	|	Спорттық тауарлар өндірісі
91	|	32.99.3	|	Кәдесый бұйымдары өндірісі
92	|	32.99.9	|	Өзге де бұйымдар өндірісі
93	|	33.11.1	|	Металл цистерналарды, резервуарлар мен контейнерлерді жөндеу
94	|	33.11.2	|	Орталық жылыту радиаторлары мен қазандықтарды жөндеу
95	|	33.11.3	|	Орталық жылыту қазандықтарынан басқа, бу қазандықтарын жөндеу
96	|	33.11.9	|	Өзге де металл бұйымдарды жөндеу
97	|	33.12.2	|	Жалпы мақсаттағы басқа да жабдықты жөндеу және техникалық қызмет көрсету
98	|	33.12.3	|	Ауыл және орман шаруашылығына арналған машиналар мен жабдықты жөндеу және техникалық қызмет көрсету
99	|	33.12.4	|	Станоктарды жөндеу және техникалық қызмет көрсету
100	|	33.12.5	|	Арнайы мақсаттағы басқа да машиналар мен жабдықтарды жөндеу және техникалық қызмет көрсету
101	|	33.13.1	|	Өлшеуге, тестілеуге және навигацияға арналған құралдар мен аспаптарды жөндеу және техникалық қызмет көрсету
102	|	33.13.3	|	Сәулелендіруші, электрмедициналық және электртерапевтік жабдықтарды жөндеу және техникалық қызмет көрсету
103	|	33.13.4	|	Оптикалық аспаптар мен фотографиялық жабдықты жөндеу және техникалық қызмет көрсету
104	|	33.14.1	|	Электрқозғалтқыштарды, генераторларды және трансформаторларды жөндеу және техникалық қызмет көрсету
105	|	33.14.2	|	Электртарату және реттеу аппаратураларын жөндеу және техникалық қызмет көрсету
106	|	33.14.9	|	Басқа топтамаларға енгізілмеген өзге электр жабдықтарын жөндеу және техникалық қызмет көрсету
107	|	33.15.1	|	Кемелерді жөндеу және техникалық қызмет көрсету
108	|	33.15.2	|	Спорттық қайықтар мен серуендеу қайықтарын жөндеу және техникалық қызмет көрсету
109	|	33.17.9	|	Басқа топтамаларға енгізілмеген өзге де көлік құралдары мен жабдықтарын жөндеу
110	|	33.19.0	|	Өзге жабдықтарды жөндеу
111	|	35.30.4	|	Ауа баптау
112	|	38.11.0	|	Қауіпсіз қалдықтарды жинау
113	|	38.21.0	|	Қауіпсіз қалдықтарды өңдеу және жою
114	|	39.00.0	|	Ластануды жою жөніндегі қызмет және қалдықтарды жою саласындағы өзге де көрсетілетін қызметтер
115	|	41.10.0	|	Құрылыс жобаларын әзірлеу
116	|	43.21.1	|	Телекоммуникациялық, компьютерлік және телевизиялық желілерді төсеу бойынша электрмонтаж жұмыстары
117	|	43.22.0	|	Сумен жабдықтау, жылыту және ауа баптау жүйелерін монтаждау
118	|	43.29.1	|	Оқшаулау жұмыстары
119	|	43.29.8	|	Басқа топтамаларға енгізілмеген өзге де құрылыс-монтаж жұмыстары
120	|	43.29.9	|	Монтаждалған жабдықты қосу және реттеу
121	|	43.31.0	|	Сылақ жұмыстары
122	|	43.32.0	|	Ағаш шебері және ағаш ұстасы жұмыстары
123	|	43.33.0	|	Еден жабыны және қабырғаларды қаптау
124	|	43.34.0	|	Сырлау және шыны салу жұмыстары
125	|	43.39.0	|	Өзге де әрлеу жұмыстары
126	|	43.91.0	|	Шатыр жабу жұмыстары
127	|	43.99.2	|	Гидрооқшаулау жұмыстары
128	|	43.99.3	|	Құрылыс жабдығын оператормен жалға беру
129	|	45.11.2	|	Сауда алаңы 2000 ш.м-ден кем болатын сауда объектілерінде автомобильдердің және жеңіл автокөлік құралдарының бөлшек саудасы
130	|	45.19.2	|	Сауда алаңы 2000 ш.м-ден кем болатын сауда объектілерінде өзге де автокөлік құралдарының бөлшек саудасы
131	|	45.20.1	|	Жол бойындағы жолақта орналасқан техникалық қызмет көрсету станциялары жүргізген қызметтерді қоспағанда, автомобильдерді жөндеу және техникалық қызмет көрсету
132	|	45.20.2	|	Жол бойындағы жолақта орналасқан техникалық қызмет көрсету станцияларының техникалық қызмет көрсетуі және автомобильдерді жөндеуі
133	|	45.32.1	|	Сауда алаңы 2000 ш.м-ден кем болатын сауда объектілерінде автомобильдерге арналған бөлшектердің, тораптар мен құрал-саймандардың бөлшек саудасы
134	|	45.32.2****	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және жоғары) сауда объектілерінде автомобильдерге арналған бөлшектердің, тораптар мен құрал-саймандардың бөлшек саудасы
135	|	45.40.2	|	Мотоцикл, мотороллер, олардың бөлшектері мен құрал-саймандарының бөлшек саудасы
136	|	45.40.3	|	Мотоциклдерге және мотороллерлерге техникалық қызмет көрсету және жөндеу
137	|	47.11.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылмаған дүкендерде негізінен тамақ өнімдерінің, сусындар мен темекі өнімдерінің бөлшек саудасы
138	|	47.11.2****	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылмаған дүкендерде негізінен тамақ өнімдерінің, сусындар мен темекі өнімдерінің бөлшек саудасы
139	|	47.19.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылмаған дүкендердегі өзге де бөлшек сауда
140	|	47.19.2*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылмаған дүкендердегі өзге де бөлшек сауда
141	|	47.21.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде жеміс-жидектер мен көкөністердің бөлшек саудасы
142	|	47.22.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде тауық, қыр құсы және олардан жасалған өнімдердің бөлшек саудасы
143	|	47.22.4	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде ет және ет өнімдерін өзге де бөлшек сауда
144	|	47.23.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде балық, шаян тәрізділердің және моллюскілердің бөлшек саудасы
145	|	47.24.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде нан-тоқаш, ұннан жасалған және қантты кондитерлік өнімдердің бөлшек саудасы
146	|	47.25.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде сусындардың бөлшек саудасы
147	|	47.26.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде темекі өнімдерінің бөлшек саудасы
148	|	47.29.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде тамақ өнімдерінің өзге бөлшек саудасы
149	|	47.29.2****	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде тамақ өнімдерінің өзге бөлшек саудасы
150	|	47.30.1****	|	Жол бойындағы жолақта орналасқандардан басқа, мамандандырылған дүкендерде мотор отынының бөлшек саудасы
151	|	47.30.2	|	Мамандырылған дүкендерде жағармай материалдарының бөлшек саудасы
152	|	47.30.3	|	Жол бойындағы жолақта орналасқан мамандандырылған дүкендерде мотор отынының бөлшек саудасы
153	|	47.41.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде компьютерлердің, перифериялық жабдықтар мен бағдарламалық қамтылымның бөлшек саудасы
154	|	47.42.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде телекоммуникациялық жабдықтардың бөлшек саудасы
155	|	47.42.2****	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде телекоммуникациялық жабдықтардың бөлшек саудасы
156	|	47.43.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде аудио- және бейнеаппаратураның бөлшек саудасы
157	|	47.51.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде текстиль бұйымдардың бөлшек саудасы
158	|	47.51.2*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде текстиль бұйымдарының бөлшек саудасы
159	|	47.52.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде темір бұйымдардың, лак-бояу материалдары мен шынылардың бөлшек саудасы
160	|	47.53.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде кілемдердің, кілем бұйымдарының, сондай-ақ қабырға және еден жабындарының бөлшек саудасы
161	|	47.53.2*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде кілемдердің, кілем бұйымдарының, сондай-ақ қабырға және еден жабындарының бөлшек саудасы
162	|	47.54.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде тұрмыстық электр аспаптарының бөлшек саудасы
163	|	47.54.2****	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде тұрмыстық электр аспаптарының бөлшек саудасы
