
Қазақстан Республикасының 2008 жылғы 4 желтоқсандағы Бюджет кодексiнің
106-бабына , "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 6-бабының 1 тармағының
1) тармақшасына сәйкес, Солтүстік Қазақстан облысы Мамлют ауданының мәслихаты
ШЕШТІ
:


1. "2016-2018 жылдарға арналған аудандық бюджеті туралы" Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2015 жылғы 23 желтоқсандағы № 49/2
шешіміне (2016 жылғы 29 қаңтардағы "Солтүстік жұлдызы", "Знамя труда" аудандық газеттерінде жарияланған, нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде № 3539 болып тіркелген) келесі өзгерістер енгізілсін:


Нұсқалған шешімнің
1 ,
4 қосымшалары осы шешімнің
1 ,
2 қосымшаларына сәйкес жаңа редакцияда баяндалсын.


2. Осы шешім 2016 жылғы 1 қаңтардан бастап қолданысқа енгізіледi.


Солтүстік Қазақстан облысыМамлют ауданы мәслихатысессиясының төрағасы	|	А. Жүнісов
Солтүстік Қазақстан облысыМамлют ауданы мәслихатыныңхатшысы	|	Р. Нұрмұқанова
"КЕЛІСІЛДІ""Солтүстік Қазақстан облысыМамлют ауданыныңэкономика және қаржы бөлімі"мемлекеттiк мекемесiніңбасшысы2016 жыл 10 маусым	|	А.Биктимиров




	|	Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2016 жылғы 10 маусымдағы № 4/2 шешіміне 1 қосымша
	|	Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2015 жылғы 23 желтоқсандағы № 49/2 шешіміне 1 қосымша

2016 жылға Мамлют аудандық бюджеті

Санаты	|	Сыныбы	|	Iшкi сыныбы	|	Атауы	|	Сома, мың теңге
	|		|	009	|	Жануарлардың энзоотиялық аурулары бойынша ветеринариялық іс-шараларды жүргізу	|	2586
	|		|	010	|	Ауыл шаруашылығы жануарларын сәйкестендіру жөніндегі іс-шараларды өткізу	|	450
	|		|	047	|	Жануарлардың саулығы мен адамның денсаулығына қауіп төндіретін, алып қоймай залалсыздандырылған (зарарсыздандырылған) және қайта өңделген жануарлардың, жануарлардан алынатын өнімдер мен шикізаттың құнын иелеріне өтеу	|	205
	|	463	|		|	Ауданның (облыстық маңызы бар қаланың) жер қатынастары бөлімі	|	8966
	|		|	001	|	Аудан (облыстық маңызы бар қала) аумағында жер қатынастарын реттеу саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	8966
	|	473	|		|	Ауданның (облыстық маңызы бар қаланың) ветеринария бөлімі	|	25410
	|		|	011	|	Эпизоотияға қарсы іс-шаралар жүргізу	|	25410
11	|		|		|	Өнеркәсіп, сәулет, қала құрылысы және құрылыс қызметі	|	14972
	|	472	|		|	Ауданның (облыстық маңызы бар қаланың) құрылыс, сәулет және қала құрылысы бөлімі	|	14972
	|		|	001	|	Жергілікті деңгейде құрылыс, сәулет және қала құрылысы саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	10716
	|		|	013	|	Аудан аумағында қала құрылысын дамытудың кешенді схемаларын, аудандық (облыстық) маңызы бар қалалардың, кенттердің және өзге де ауылдық елді мекендердің бас жоспарларын әзірлеу	|	4256
12	|		|		|	Көлiк және коммуникация	|	73199
	|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	57560
	|		|	013	|	Аудандық маңызы бар қалаларда, кенттерде, ауылдарда , ауылдық округтерде автомобиль жолдарының жұмыс істеуін қамтамасыз ету	|	2394
	|		|	045	|	Елді мекендер көшелеріндегі автомобиль жолдарын күрделі және орташа жөндеу	|	55166
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	15639
	|		|	023	|	Автомобиль жолдарының жұмыс істеуін қамтамасыз ету	|	11742
	|		|	045	|	Аудандық маңызы бар автомобиль жолдарын және елді мекендердің көшелерін күрделі және орташа жөндеу	|	3897
13	|		|		|	Басқалар	|	19556,4
	|	469	|		|	Ауданның (облыстық маңызы бар қаланың) кәсіпкерлік бөлімі	|	7566
	|		|	001	|	Жергілікті деңгейде кәсіпкерлікті дамыту саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	7566
	|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	9691
	|		|	040	|	"Өңірлерді дамыту" Бағдарламасы шеңберінде өңірлерді экономикалық дамытуға жәрдемдесу бойынша шараларды іске асыру	|	9691
	|	459	|		|	Ауданның (облыстық маңызы бар қаланың) экономика және қаржы бөлімі	|	174,4
	|		|	012	|	Ауданның (облыстық маңызы бар қаланың) жергілікті атқарушы органының резерві	|	174,4
	|	464	|		|	Ауданның (облыстық маңызы бар қаланың) білім бөлімі	|	2125
	|		|	041	|	"Өңірлерді дамыту" Бағдарламасы шеңберінде өңірлерді экономикалық дамытуға жәрдемдесу бойынша шараларды іске асыру	|	2125
15	|		|		|	Трансферттер	|	9798,7
	|	459	|		|	Ауданның (облыстық маңызы бар қаланың) экономика және қаржы бөлімі	|	9798,7
	|		|	006	|	Нысаналы пайдаланылмаған (толық пайдаланылмаған) трансферттерді қайтару	|	8167,9
	|		|	051	|	Жергілікті өзін-өзі басқару органдарына берілетін трансферттер	|	1160
	|		|	054	|	Қазақстан Республикасының Ұлттық қорынан берілетін нысаналы трансферт есебінен республикалық бюджеттен бөлінген пайдаланылмаған (түгел пайдаланылмаған) нысаналы трансферттердің сомасын қайтару	|	470,8
	|		|		|	3) Таза бюджеттік кредиттеу	|	4083
	|		|		|	Бюджеттік кредиттер	|	9545
10	|		|		|	Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары	|	9545
	|	459	|		|	Ауданның (облыстық маңызы бар қаланың) экономика және қаржы бөлімі	|	9545
	|		|	018	|	Мамандарды әлеуметтік қолдау шараларын іске асыруға берілетін бюджеттік кредиттер	|	9545
5	|		|		|	Бюджеттік кредиттерді өтеу	|	5462
	|	01	|		|	Бюджеттік кредиттерді өтеу	|	5462
	|		|	1	|	Мемлекеттік бюджеттен берілген бюджеттік кредиттерді өтеу	|	5462
	|		|		|	4) Қаржылық активтермен операциялық сальдо	|	6759
	|		|		|	Қаржылық активтерді сатып алу	|	6759
13	|		|		|	Басқалар	|	6759
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	5240
	|		|	065	|	Заңды тұлғалардың жарғылық капиталын қалыптастыру немесе ұлғайту	|	5240
	|	473	|		|	Ауданның (облыстық маңызы бар қаланың) ветеринария бөлімі	|	1519
	|		|	065	|	Заңды тұлғалардың жарғылық капиталын қалыптастыру немесе ұлғайту	|	1519
	|		|		|	5) Бюджет тапшылығы (профициті)	|	-13050
	|		|		|	6) Бюджеттiң жетiспеушiлiгiн (артықшылықты қолдану) қаржыландыру	|	13050
7	|		|		|	Қарыздар түсімдері	|	9545
	|	01	|		|	Мемлекеттік ішкі қарыздар	|	9545
	|		|	2	|	Қарыз алу келісім-шарттары	|	9545
16	|		|		|	Қарыздарды өтеу	|	5462
	|	459	|		|	Ауданның (облыстық маңызы бар қаланың) экономика және қаржы бөлімі	|	5462
	|		|	005	|	Жергілікті атқарушы органның жоғары тұрған бюджет алдындағы борышын өтеу	|	5462
8	|		|		|	Бюджет қаражаттарының пайдаланылатын қалдықтары	|	8967
	|	01	|		|	Бюджет қаражаты қалдықтары	|	8967
	|		|	1	|	Бюджет қаражатының бос қалдықтары	|	8967





	|	Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2016 жылғы 10 маусымдағы № 4/2 шешіміне 2 қосымша
	|	Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2015 жылғы 23 желтоқсандағы № 49/2 шешіміне 2 қосымша

2016 жылға аудандық маңызы бар қаланың, кенттің, ауылдың, ауылдық округтің бюджеттік бағдарламаларының тізімі

Функционалдық топ	|	Бюджеттік бағдарламалардың әкімшісі	|	Бағдарлама	|	Атауы	|	Сома, мың теңге

01	|		|		|	Жалпы сипаттағы мемлекеттік қызметтер	|	132730,6
	|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	132730,6
	|		|	001	|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің қызметін қамтамасыз ету жөніндегі қызметтер	|	131663,6
	|		|	022	|	Мемлекеттік органның күрделі шығыстары	|	717,0
	|		|	032	|	Ведомстволық бағыныстағы мемлекеттік мекемелерінің және ұйымдарының күрделі шығыстары	|	350,0
04	|		|		|	Білім беру	|	3402,4
	|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	3402,4
	|		|	005	|	Ауылдық жерлерде балаларды мектепке дейін тегін алып баруды және кері алып келуді ұйымдастыру	|	3402,4
07	|		|		|	Тұрғын үй-коммуналдық шаруашылық	|	14783
	|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	14783
	|		|	014	|	Елді мекендерді сумен жабдықтауды ұйымдастыру	|	2905
	|		|	008	|	Елді мекендерде көшелердіжарықтандыру	|	9668
	|		|	009	|	Елді мекендердің санитариясын қамтамасыз ету	|	1050
	|		|	010	|	Жерлеу орындарын ұстау және туыстары жоқ адамдарды жерлеу	|	60
	|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	1100
08	|		|		|	Мәдениет, спорт, туризм және ақпараттық кеңiстiк	|	45191,8
	|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	45191,8
	|		|	006	|	Жергілікті деңгейде мәдени-демалыс жұмыстарын қолдау	|	45191,8
12	|		|		|	Көлiк және коммуникация	|	57560,0
	|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	57560,0
	|		|	013	|	Аудандық маңызы бар қалаларда, кенттерде, ауылдарда , ауылдық округтерде автомобиль жолдарының жұмыс істеуін қамтамасыз ету	|	2394,0
	|		|	045	|	Елді мекендер көшелеріндегі автомобиль жолдарын күрделі және орташа жөндеу	|	55166,0
13	|		|		|	Басқалар	|	9691,0
	|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	9691,0
	|		|	040	|	"Өңірлерді дамыту" Бағдарламасы шеңберінде өңірлерді экономикалық дамытуға жәрдемдесу бойынша шараларды іске асыру	|	9691,0
	|		|		|	Жиыны:	|	263358,8




Кестенің жалғасы



соның ішінде ауылдық округтермен
Мамлютка қаласы әкімінің аппараты	|	Андреев ауылдық округі	|	Белое ауылдық округі	|	Воскресенов ауылдық округі	|	Дубровное ауылдық округі	|	Қызыләскер ауылдық округі
21594,8	|	8491,0	|	10968,0	|	10803,0	|	12148,5	|	9055,3
21594,8	|	8491,0	|	10968,0	|	10803,0	|	12148,5	|	9055,3
21013,8	|	8491,0	|	10618,0	|	10803,0	|	12148,5	|	9055,3
581,0	|	0	|	0	|	0	|	0	|	0
0	|	0	|	350,0	|	0	|	0	|	0
0	|	184,0	|	281,0	|	320,0	|	251,0	|	391,0
0	|	184,0	|	281,0	|	320,0	|	251,0	|	391,0
0	|	184,0	|	281,0	|	320,0	|	251,0	|	391,0
8260	|	360	|	1200	|	0	|	1135	|	655
8260	|	360	|	1200	|	0	|	1135	|	655
0	|	0	|	800	|	0	|	535	|	535
7100	|	150	|	400	|	0	|	600	|	120
0	|	210	|	0	|	0	|	0	|	0
60	|	0	|	0	|	0	|	0	|	0
1100	|	0	|	0	|	0	|	0	|	0
0	|	9552,1	|	2818,0	|	5199,0	|	851,0	|	4370,1
0	|	9552,1	|	2818,0	|	5199,0	|	851,0	|	4370,1
0	|	9552,1	|	2818,0	|	5199,0	|	851,0	|	4370,1
57560,0	|	0	|	0	|	0	|	0	|	0
57560,0	|	0	|	0	|	0	|	0	|	0
2394,0	|	0	|	0	|	0	|	0	|	0
55166,0	|	0	|	0	|	0	|	0	|	0
0	|	872,0	|	1103,0	|	1171,0	|	1407,0	|	785,0
0	|	872,0	|	1103,0	|	1171,0	|	1407,0	|	785,0
0	|	872,0	|	1103,0	|	1171,0	|	1407,0	|	785,0
87414,8	|	19459,1	|	16370,0	|	17493,0	|	15792,5	|	15256,4




Кестенің жалғасы



соның ішінде ауылдық округтермен
Краснознамен ауылдық округі	|	Леденев ауылдық округі	|	Ленин ауылдық округі	|	Новомихайлов ауылдық округі	|	Пригород ауылдық округі	|	Становое ауылдық округі
10429,0	|	10853,0	|	9094,6	|	10207,4	|	10391,0	|	8695,0
10429,0	|	10853,0	|	9094,6	|	10207,4	|	10391,0	|	8695,0
10429,0	|	10853,0	|	9094,6	|	10207,4	|	10391,0	|	8559,0
0	|	0	|	0	|	0	|	0	|	136,0
0	|	0	|	0	|	0	|	0	|	0
810,0	|	181,0	|	0	|	0	|	350,0	|	634,4
810,0	|	181,0	|	0	|	0	|	350,0	|	634,4
810,0	|	181,0	|	0	|	0	|	350,0	|	634,4
430	|	210	|	675	|	720	|	760	|	378
430	|	210	|	675	|	720	|	760	|	378
0	|	0	|	535	|	0	|	500	|	0
220	|	0	|	140	|	510	|	260	|	168
210	|	210	|	0	|	210	|	0	|	210
0	|	0	|	0	|	0	|	0	|	0
0	|	0	|	0	|	0	|	0	|	0
0	|	0	|	7305,4	|	10328,2	|	0	|	4768,0
0	|	0	|	7305,4	|	10328,2	|	0	|	4768,0
0	|	0	|	7305,4	|	10328,2	|	0	|	4768,0
0	|	0	|	0	|	0	|	0	|	0
0	|	0	|	0	|	0	|	0	|	0
0	|	0	|	0	|	0	|	0	|	0
0	|	0	|	0	|	0	|	0	|	0
1207,0	|	640,0	|	790,0	|	0	|	858,0	|	858,0
1207,0	|	640,0	|	790,0	|	0	|	858,0	|	858,0
1207,0	|	640,0	|	790,0	|	0	|	858,0	|	858,0
12876,0	|	11884,0	|	17865,0	|	21255,6	|	12359,0	|	15333,4




