
Қазақстан Республикасының 2008 жылғы 4 желтоқсандағы Бюджет кодексiнің
106-бабына , "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 6-бабының 1 тармағының
1) тармақшасына сәйкес, Солтүстік Қазақстан облысы Мамлют ауданының мәслихаты
ШЕШТІ
:


1. "2016-2018 жылдарға арналған аудандық бюджеті туралы" Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2015 жылғы 23 желтоқсандағы № 49/2
шешіміне (2016 жылғы 29 қаңтардағы "Солтүстік жұлдызы", "Знамя труда" аудандық газеттерінде жарияланған, нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде № 3539 болып тіркелген) келесі өзгерістер енгізілсін:


Нұсқалған шешімнің
1 ,
4 қосымшалары осы шешімнің
1 ,
2 қосымшаларына сәйкес жаңа редакцияда баяндалсын.


2. Осы шешім 2016 жылғы 1 қаңтардан бастап қолданысқа енгізіледi.


Солтүстік Қазақстан облысыМамлют ауданы мәслихатысессиясының төрағасы	|	А. Жүнісов
Солтүстік Қазақстан облысыМамлют ауданы мәслихатыныңхатшысы	|	Р. Нұрмұқанова
"КЕЛІСІЛДІ""Солтүстік Қазақстан облысыМамлют ауданыныңэкономика және қаржы бөлімі"мемлекеттiк мекемесiніңбасшысы2016 жыл 10 маусым	|	А.Биктимиров




	|	Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2016 жылғы 10 маусымдағы № 4/2 шешіміне 1 қосымша
	|	Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2015 жылғы 23 желтоқсандағы № 49/2 шешіміне 1 қосымша

2016 жылға Мамлют аудандық бюджеті

Санаты	|	Сыныбы	|	Iшкi сыныбы	|	Атауы	|	Сома, мың теңге
	|		|	040	|	Мемлекеттік органдардың объектілерін дамыту	|	400
02	|		|		|	Қорғаныс	|	6594
	|	122	|		|	Аудан (облыстық маңызы бар қала) әкімінің аппараты	|	6594
	|		|	005	|	Жалпыға бірдей әскери міндетті атқару шеңберіндегі іс-шаралар	|	4544
	|		|	006	|	Аудан (облыстық маңызы бар қала) ауқымындағы төтенше жағдайлардың алдын алу және оларды жою	|	1800
	|		|	007	|	Аудандық (қалалық) ауқымдағы дала өрттерінің, сондай-ақ мемлекеттік өртке қарсы қызмет органдары құрылмаған елдi мекендерде өрттердің алдын алу және оларды сөндіру жөніндегі іс-шаралар	|	250
04	|		|		|	Білім беру	|	1898268,8
	|	464	|		|	Ауданның (облыстық маңызы бар қаланың) білім бөлімі	|	130441,4
	|		|	009	|	Мектепке дейінгі тәрбие мен оқыту ұйымдарының қызметін қамтамасыз ету	|	38070,4
	|		|	040	|	Мектепке дейінгі білім беру ұйымдарында мемлекеттік білім беру тапсырысын іске асыруға	|	92371
	|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	3402,4
	|		|	005	|	Ауылдық жерлерде балаларды мектепке дейін тегін алып баруды және кері алып келуді ұйымдастыру	|	3402,4
	|	464	|		|	Ауданның (облыстық маңызы бар қаланың) білім бөлімі	|	1650992
	|		|	003	|	Жалпы білім беру	|	1583585
	|		|	006	|	Балаларға қосымша білім беру	|	67407
	|	465	|		|	Ауданның (облыстық маңызы бар қаланың) дене шынықтыру және спорт бөлімі	|	24345
	|		|	017	|	Балалар мен жасөспірімдерге спорт бойынша қосымша білім беру	|	24345
	|	464	|		|	Ауданның (облыстық маңызы бар қаланың) білім бөлімі	|	89088
	|		|	001	|	Жергілікті деңгейде білім беру саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	10420
