
Қазақстан Республикасының Үкiметi ҚАУЛЫ ЕТЕДI : 1. «2010 – 2014 жылдарға арналған республикалық индустрияландыру картасы туралы» Қазақстан Республикасы Үкiметiнiң 2010 жылғы 14 сәуiрдегi № 303 қаулысына мынадай өзгеріс енгізілсін: көрсетілген қаулымен бекітілген 2010 – 2014 жылдарға арналған республикалық индустрияландыру картасы осы қаулыға қосымшаға сәйкес жаңа редакцияда жазылсын. 2. Осы қаулы қол қойылған күнiнен бастап қолданысқа енгiзiледi.

Қазақстан Республикасының Премьер-Министрi                                     С. Ахметов

Қазақстан Республикасы Үкіметінің 2013 жылғы 29 наурыздағы № 295 қаулысына қосымша

Қазақстан Республикасы Үкiметiнiң 2010 жылғы 14 сәуiрдегi № 303 қаулысымен бекiтiлген

2010 – 2014 жылдарға арналған республикалық индустрияландыру картасы


Р/с№	|	Жобаның атауы	|	Жауапты мемлекеттiк орган және ұлттық холдинг	|	Өңiр	|	Жобаға өтiнiш берушi	|	Iске асыру мерзiмi*/жобаның мәртебесі	|	2013 жылға инвестицияларды игеру жоспары, млн. теңге
21.	|	«Қорғас» шекара маңы ынтымақтастығы халықаралық орталығының инфрақұрылымын салу	|	ИЖТМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Алматы облысы	|	«Қорғас» шекара маңы ынтымақтастығы халықаралық орталығы» АҚ	|	2005 – 2018 жылдар	|	8 300
22.	|	Қарағанды облысындағы Индустриялық парктiң инфрақұрылымын салу	|	ИЖТМ	|	Қарағанды облысы	|	«Сарыарқа» ӘКК	|	2007 – 2013 жылдар	|	3 155,2
23.	|	«Абу-Даби Плаза» көпфункционалдық кешенiн салу	|	ИЖТМ	|	Астана қаласы	|	«Aldar Properties PJSC» ЖШС	|	2010 – 2016 жылдар	|	-
24.	|	Ақмола облысының Бурабай ауданындағы «Бурабай» арнайы экономикалық аймағының шекараларында туристiк ойын-сауық кешенiн салу	|	ИЖТМ	|	Ақмола облысы	|	«Tourism Borovoe City» ЖШС	|	2009 – 2021 жылдар	|	1 800
25.	|	Шымкент қаласында «Химфарм» АҚ-ның өндiрiстік қуатын кеңейту	|	ИЖТМ	|	ОҚО	|	«Химфарм» АҚ	|	2009 – 2013 жылдар	|	4 780
26.	|	Интеграцияланған газ-химия кешенiн салу	|	МГМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Атырау облысы	|	«Kazakhstan Petrochemical Industries Inc» ЖШС	|	2010 – 2016 жылдар	|	172 706
27.	|	«Бейнеу – Бозой – Шымкент» газ құбырын салу	|	МГМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Өңiраралық жоба	|	«ҚазМұнайГаз» ҰК» АҚ	|	2011 – 2015 жылдар	|	144 596
28.	|	Ақтау пластикалық массалар зауытында жол битумдарын шығару	|	МГМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Маңғыстау облысы	|	«ҚазМұнайГаз» ҰК» АҚ	|	2010 – 2013 жылдар	|	15 352
29.	|	Атырау МӨЗ реконструкциялау және жаңғырту	|	МГМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Атырау облысы	|	«ҚазМұнайГаз» ҰК» АҚ	|	2009 – 2015 жылдар	|	135 064
30.	|	«Батыс Еуропа – Батыс Қытай» халықаралық транзит дәлiзiн реконструкциялау	|	ККМ	|	Өңiраралық жоба	|	ККМ	|	2007 – 2015 жылдар	|	174 226
