Қордай аудандық мәслихаты ШЕШТІ:

1. "2021-2023 жылдарға арналған аудандық бюджет туралы" Қордай аудандық мәслихатының 2020 жылғы 21 желтоқсандағы №79-3 шешіміне (нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 4848 болып тіркелген) келесідей өзгерістер енгізілсін:

1 тармақ жаңа редакцияда жазылсын:

1. 2021-2023 жылдарға арналған аудандық бюджет тиісінше осы шешімнің қосымшасына сәйкес, оның ішінде 2021 жылға келесідей көлемдерде бекітілсін:

1) кірістер – 24 694 026 мың теңге, оның ішінде:

салықтық түсімдер – 3 503 133 мың теңге;

салықтық емес түсімдер – 19 212 мың теңге;

негізгі капиталды сатудан түсетін түсімдер – 161 515 мың теңге;

трансферттер түсiмі – 21 010 166 мың теңге;

2) шығындар – 25 040 184 мың теңге;

5) бюджет тапшылығы (профициті) – - 384 208 мың теңге;

6) бюджет тапшылығын қаржыландыру (профицитін пайдалану) – 384 208 мың теңге, оның ішінде:

қарыздар түсімі – 410 803 мың теңге.

Аталған шешімнің 1 қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда мазмұндалсын.

2. Осы шешім 2021 жылдың 1 қаңтарынан қолданысқа енгізіледі.


Қордай аудандық мәслихат
сессиясының төрағасы	|	Э. Курумбаев
Қордай аудандық
мәслихатының хатшысы	|	Н. Садыков



	|	Қордай аудандыдықмәслихатының2020 жылғы21 желтоқсандағы № 73-2шешіміне 1 қосымшасы
	|	Қордай аудандыдықмәслихатының2021 жылғы15 маусымдағы № 9-2шешіміне1 қосымшасы

2021 жылға арналған аудандық бюджет

Санаты	|	Сомасы (мың теңге)
	|	Сыныбы
	|		|	Ішкі сыныбы
	|		|		|	Атауы
1	|	2	|	3	|	4	|	5
	|		|	001	|	Экономикалық саясатты, мемлекеттік жоспарлау жүйесін қалыптастыру және дамыту саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	27428
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	455319
	|		|	001	|	Жергілікті деңгейде тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	50105
	|		|	113	|	Төменгі тұрған бюджеттерге берілетін нысаналы ағымдағы трансферттер	|	405214
	|	494	|		|	Ауданның (облыстық маңызы бар қаланың) кәсіпкерлік және өнеркәсіп бөлімі	|	17279
	|		|	001	|	Жергілікті деңгейде кәсіпкерлікті және өнеркәсіпті дамыту саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	17069
	|		|	003	|	Мемлекеттік органның күрделі шығыстар	|	210
02	|		|		|	Қорғаныс	|	28244
	|	122	|		|	Аудан (облыстық маңызы бар қала) әкімінің аппараты	|	5016
	|		|	005	|	Жалпыға бірдей әскери міндетті атқару шеңберіндегі іс-шаралар	|	5016
	|	122	|		|	Аудан (облыстық маңызы бар қала) әкімінің аппараты	|	23228
	|		|	006	|	Аудан (облыстық маңызы бар қала) ауқымындағы төтенше жағдайлардың алдын алу және оларды жою	|	11500
	|		|	007	|	Аудандық (қалалық) ауқымдағы дала өрттерінің, сондай-ақ мемлекеттік өртке қарсы қызмет органдары құрылмаған елдi мекендерде өрттердің алдын алу және оларды сөндіру жөніндегі іс-шаралар	|	11728
03	|		|		|	Қоғамдық тәртіп, қауіпсіздік, құқықтық, сот, қылмыстық-атқару	|	59500
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	59500
	|		|	021	|	Елдi мекендерде жол қозғалысы қауiпсiздiгін қамтамасыз ету	|	59500
06	|		|		|	Әлеуметтiк көмек және әлеуметтiк қамсыздандыру	|	2472842
	|	451	|		|	Ауданның (облыстық маңызы бар қаланың) жұмыспен қамту және әлеуметтік бағдарламалар бөлімі	|	927888
	|		|	005	|	Мемлекеттік атаулы әлеуметтік көмек	|	927888
	|	451	|		|	Ауданның (облыстық маңызы бар қаланың) жұмыспен қамту және әлеуметтік бағдарламалар бөлімі	|	1447005
	|		|	002	|	Жұмыспен қамту бағдарламасы	|	1017167
	|		|	004	|	Ауылдық жерлерде тұратын денсаулық сақтау, білім беру, әлеуметтік қамтамасыз ету, мәдениет, спорт және ветеринар мамандарына отын сатып алуға Қазақстан Республикасының заңнамасына сәйкес әлеуметтік көмек көрсету	|	75434
	|		|	006	|	Тұрғын үйге көмек көрсету	|	1000
	|		|	007	|	Жергілікті өкілетті органдардың шешімі бойынша мұқтаж азаматтардың жекелеген топтарына әлеуметтік көмек	|	70567
	|		|	010	|	Үйден тәрбиеленіп оқытылатын мүгедек балаларды материалдық қамтамасыз ету	|	9346
	|		|	014	|	Мұқтаж азаматтарға үйде әлеуметтік көмек көрсету	|	107910
	|		|	017	|	Оңалтудың жеке бағдарламасына сәйкес мұқтаж мүгедектердi мiндеттi гигиеналық құралдармен қамтамасыз ету, қозғалуға қиындығы бар бірінші топтағы мүгедектерге жеке көмекшінің және есту бойынша мүгедектерге қолмен көрсететiн тіл маманының қызметтерін ұсыну	|	74762
	|		|	023	|	Жұмыспен қамту орталықтарының қызметін қамтамасыз ету	|	90819
	|	451	|		|	Ауданның (облыстық маңызы бар қаланың) жұмыспен қамту және әлеуметтік бағдарламалар бөлімі	|	97949
	|		|	001	|	Жергілікті деңгейде халық үшін әлеуметтік бағдарламаларды жұмыспен қамтуды қамтамасыз етуді іске асыру саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	35561
	|		|	021	|	Мемлекеттік органның күрделі шығыстары	|	138
	|		|	067	|	Ведомстволық бағыныстағы мемлекеттік мекемелер мен ұйымдардың күрделі шығыстары	|	16
	|		|	011	|	Жәрдемақыларды және басқа да әлеуметтік төлемдерді есептеу, төлеу мен жеткізу бойынша қызметтерге ақы төлеу	|	4000
	|		|	050	|	Қазақстан Республикасында мүгедектердің құқықтарын қамтамасыз етуге және өмір сүру сапасын жақсарту	|	46338
	|		|	113	|	Төменгі тұрған бюджеттерге берілетін нысаналы ағымдағы трансферттер	|	11896
07	|		|		|	Тұрғын үй-коммуналдық шаруашылық	|	4074564
	|	466	|		|	Ауданның (облыстық маңызы бар қаланың) сәулет, қала құрылысы және құрылыс бөлімі	|	3784535
	|		|	003	|	Коммуналдық тұрғын үй қорының тұрғын үйін жобалау және (немесе) салу, реконструкциялау	|	1999479
	|		|	004	|	Инженерлік-коммуникациялық инфрақұрылымды жобалау, дамыту және (немесе) жайластыру	|	1513056
