Қазақстан Республикасы Үкіметінің 2008 жылғы 11 маусымдағы № 573 қаулысымен бекітілген "Болашақ" халықаралық стипендиясын тағайындау үшін үміткерлерді іріктеу және "Болашақ" халықаралық стипендиясын жұмсау бағыттарын айқындау қағидаларын іске асыру мақсатында БҰЙЫРАМЫН:

1. Осы бұйрыққа қосымшаға сәйкес 2020 жылға "Болашақ" халықаралық стипендиясын тағайындау конкурсы жеңімпаздарының оқуы, тілдік курстардан өтуі үшін ұсынылатын шетелдік жетекші жоғары оқу орындарының, шетелдік ұйымдардың тізімі бекітілсін.

2. Қазақстан Республикасы Білім және ғылым министрлігінің Халықаралық ынтымақтастық департаменті Қазақстан Республикасының заңнамасында белгіленген тәртіппен:

1) осы бұйрықтың Қазақстан Республикасының Әділет министрлігінде мемлекеттік тіркелуін;

2) осы бұйрық ресми жарияланғаннан кейін оны Қазақстан Республикасы Білім және ғылым министрлігінің интернет-ресурсында орналастыруды;

3) осы бұйрық Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелген күннен бастап он жұмыс күні ішінде Қазақстан Республикасы Білім және ғылым министрлігінің Заң департаментіне осы тармақтың 1) және 2) тармақшаларында көзделген іс-шаралардың орындалуы туралы мәліметтерді ұсынуды қамтамасыз етсін.

3. Осы бұйрықтың орындалуын бақылау Қазақстан Республикасының Білім және ғылым жетекшілік ететін вице-министріне жүктелсін.

4. Осы бұйрық алғашқы ресми жарияланған күнінен бастап қолданысқа енгізіледі.


Қазақстан РеспубликасыныңБілім және ғылым министрі	|	А. Аймагамбетов



	|	Қазақстан РеспубликасыБілім және ғылым министрінің2020 жылғы 13 шілдедегі№ 295 бұйрығынақосымша

2020 жылға арналған "Болашақ" халықаралық стипендиясын тағайындау конкурсы жеңімпаздарының оқуы, тілдік курстан өтуі үшін ұсынылатын шетелдік жетекші оқу орындары, шетелдік ұйымдар тізімі

№	|	Жоғары оқу орындарының, шетелдік ұйымдардың атауы	|	Орналасқан жері	|	Интернеттегі мекенжайы
19	|	Lingu тіл мектебі(Lingu)	|	Норвегия Корольдігі	|	https:// lingu. no/ eng elsk kurs
20	|	Ересектерге арналған оқу бірлестігі(Folkuniversitetet)	|	Швеция Корольдігі	|	https:// www. uu. se/ en/ about- uu/ join- us/ lan guag e- courses/
21	|	Сеул ұлттық университеті жанындағы корей тілін оқыту орталығы(Korean Language Education Center, Seoul National University)	|	Корея Республикасы	|	https:// lei. snu. ac. kr/ mobile/ en/ klec/ main/ main. jsp https:// lei. snu. ac. kr/ mobile/ en/ klec/ regular/ regular. jsp
22	|	Корея алдыңғы қатарлы технологиялар институты жанындағы тіл орталығы(KAIST Language Center, Korea Advanced Institute of Science and Technology)	|	Корея Республикасы	|	https:// lang. kaist. ac. kr/ pages/ view/ lang_ 03
23	|	Бирмингем университеті(University of Birmingham)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. bir ming ham. ac. uk/
24	|	Бристол университеті(University of Bristol)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. bristol. ac. uk/
25	|	Лондон империялық колледжі(Imperial College London)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. imp eria l. ac. uk/
26	|	Кембридж университеті(University of Cambridge)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. cam. ac. uk
27	|	Лондон Корольдік колледжі(King’s College London)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. kcl. ac. uk/
28	|	Ливерпул университеті(University of Liverpool)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. liv erpo ol. ac. uk/
29	|	Лондон гигиена және тропикалық медицина мектебі(London School of Hygiene & Tropical Medicine)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. lshtm. ac. uk/
30	|	Лондон экономика және саяси ғылымдар мектебі(London School of Economics and Political Science)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. lse. ac. uk/
31	|	Лондондағы Queen Mary университеті(Queen Mary, University of London)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. qmul. ac. uk/
32	|	Манчестер университеті(University of Manchester)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. man ches ter. ac. uk
33	|	Ноттингем университеті(University of Nottingham)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. not ting ham. ac. uk
34	|	Оксфорд университеті(University of Oxford)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. ox. ac. uk
35	|	Саутгемптон университеті(University of Southampton)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. sou tham pton. ac. uk/
36	|	Глазго университеті(University of Glasgow)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. gla. ac. uk
37	|	Шеффилд университеті(University of Sheffield)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. she ffie ld. ac. uk/
38	|	Лондон Университеттік колледжі (University College London)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. ucl. ac. uk/
39	|	Уорик университеті(University of Warwick)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. warwick. ac. uk
40	|	Эдинбург университеті(University of Edinburgh)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. ed. ac. uk
41	|	Урбан-Шампейндегі Иллинойс университеті(University of Illinois at Urbana-Champaign)	|	Америка Құрама Штаттары	|	www. iei. ill inoi s. edu
42	|	Берклидегі Калифорния университеті(University of California, Berkeley )	|	Америка Құрама Штаттары	|	www. ext ensi on. ber kele y. edu
43	|	Лос-Анджелестегі Калифорния университеті(University of California, Los Angeles)	|	Америка Құрама Штаттары	|	www. ucl aext ensi on. edu
44	|	Сан-Диегодағы Калифорния университеті(University of California, San Diego)	|	Америка Құрама Штаттары	|	www. ext ensi on. ucsd. edu
45	|	Боулдердегі Колорадо университеті(University of Colorado at Boulder)	|	Америка Құрама Штаттары	|	www. col orad o. edu/ center/ iec
46	|	Колумбия университеті(Columbia University)	|	Америка Құрама Штаттары	|	www. sps. col umbi a. edu
47	|	Питтсбург университеті(University of Pittsburgh)	|	Америка Құрама Штаттары	|	www. eli. pitt. edu
48	|	Остиндегі Техас университеті(University of Texas at Austin)	|	Америка Құрама Штаттары	|	www. global. utexas. edu
49	|	Джорджия технологиялық институты(Georgia Institute of Technology)	|	Америка Құрама Штаттары	|	www. esl. gatech. edu
50	|	Миннесота университеті(University of Minnesota, Twin Cities)	|	Америка Құрама Штаттары	|	www. ccaps. umn. edu
51	|	Пенсильвания университеті(University of Pennsylvania)	|	Америка Құрама Штаттары	|	www. elp. upenn. edu
52	|	F+U тілдер академиясы(F+U Academy of Language Heidelberg)	|	Германия Федеративтік Республикасы	|	http:// www. fuu- hei delb erg- lan guag es. eu/ german_ courses_ in_ hei delb erg/
53	|	Гете-Институт(Goethe-Institut)	|	Германия Федеративтік Республикасы	|	www. goethe. de
54	|	Марбургтегі "SPEAK+write" тіл мектебі(SPEAK+write Marburg)	|	Германия Федеративтік Республикасы	|	www. speak- marburg. de
55	|	Лейпциг университеті жанындағы InterDaf тіл мектебі (InterDaf, University of Leipzig)	|	Германия Федеративтік Республикасы	|	https:// www. int erda f. uni-leipzig.de/intensive-language-courses.html
56	|	Хельсинки университеті жанындағы тіл орталығы(Language Centre, University of Helsinki)	|	Финляндия Республикасы	|	www. hel sink i. fi/ uni vers ity
57	|	Француз Альянсы(Alliance Française)	|	Франция Республикасы	|	www. all ianc efr. org
58	|	Бордо-Аквитаниядағы Француз Альянсы(Alliance Française Bordeaux Aquitaine)	|	Франция Республикасы	|	www. all ianc e- bor deau x. org
59	|	Француз Альянс жанындағы тіл мектебі(CAVILAM Vichy Alliance Française)	|	Франция Республикасы	|	www. cavilam. com
60	|	Тулуздегі Онз тіл мектебі(Langue Onze Toulouse)	|	Франция Республикасы	|	www. lan gueo nze. com
61	|	Цюрихтегі халықаралық тіл мектебі (Languages Studies International Zurich)	|	Швейцария Конфедерациясы	|	http:// www. lsizh. ch/ en
62	|	Academia Languages тіл мектебі (Academia Language School)	|	Швейцария Конфедерациясы	|	https:// www. aca demi a- basel. ch/ bs/ en/ lan guag e- courses/ english. html
63	|	Киото университеті жанындағы жапон тілі мен мәдениетінің білім орталығы (Education Center for Japanese Language and Culture, Kyoto University)	|	Жапония мемлекеті	|	https://www.z. k. kyoto- u. ac. jp/ int rodu ctio n/ edu cati on- center- for- jap anes e/ jap anes e- lan guag e- classes
64	|	Токио Университеті жанындағы жапон тілін үйрету орталығы(Center for Japanese Language Education, University of Tokyo)	|	Жапония мемлекеті	|	http:// www. nkc.u-tokyo.ac. jp/ course_ info/ index_ e. html

Ескертулер:

Медициналық мамандықтар немесе өнер саласындағы мамандықтар бойынша дайындық жүргізетін шетелдік мамандандырылған жоғары оқу орны жоқ болған жағдайда, Жұмыс органы үміткерлердің материалдарын жеке тәртіпте қарастырады.

