Қазақстан Республикасы Үкіметінің 2008 жылғы 11 маусымдағы № 573 қаулысымен бекітілген "Болашақ" халықаралық стипендиясын тағайындау үшін үміткерлерді іріктеу және "Болашақ" халықаралық стипендиясын жұмсау бағыттарын айқындау қағидаларын іске асыру мақсатында БҰЙЫРАМЫН:

1. Осы бұйрыққа қосымшаға сәйкес 2020 жылға "Болашақ" халықаралық стипендиясын тағайындау конкурсы жеңімпаздарының оқуы, тілдік курстардан өтуі үшін ұсынылатын шетелдік жетекші жоғары оқу орындарының, шетелдік ұйымдардың тізімі бекітілсін.

2. Қазақстан Республикасы Білім және ғылым министрлігінің Халықаралық ынтымақтастық департаменті Қазақстан Республикасының заңнамасында белгіленген тәртіппен:

1) осы бұйрықтың Қазақстан Республикасының Әділет министрлігінде мемлекеттік тіркелуін;

2) осы бұйрық ресми жарияланғаннан кейін оны Қазақстан Республикасы Білім және ғылым министрлігінің интернет-ресурсында орналастыруды;

3) осы бұйрық Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелген күннен бастап он жұмыс күні ішінде Қазақстан Республикасы Білім және ғылым министрлігінің Заң департаментіне осы тармақтың 1) және 2) тармақшаларында көзделген іс-шаралардың орындалуы туралы мәліметтерді ұсынуды қамтамасыз етсін.

3. Осы бұйрықтың орындалуын бақылау Қазақстан Республикасының Білім және ғылым жетекшілік ететін вице-министріне жүктелсін.

4. Осы бұйрық алғашқы ресми жарияланған күнінен бастап қолданысқа енгізіледі.


Қазақстан РеспубликасыныңБілім және ғылым министрі	|	А. Аймагамбетов



	|	Қазақстан РеспубликасыБілім және ғылым министрінің2020 жылғы 13 шілдедегі№ 295 бұйрығынақосымша

2020 жылға арналған "Болашақ" халықаралық стипендиясын тағайындау конкурсы жеңімпаздарының оқуы, тілдік курстан өтуі үшін ұсынылатын шетелдік жетекші оқу орындары, шетелдік ұйымдар тізімі

№	|	Жоғары оқу орындарының, шетелдік ұйымдардың атауы	|	Орналасқан жері	|	Интернеттегі мекенжайы
39.	|	Делфт техникалық университеті(Delft University of Technology)	|	Нидерланд Корольдігі	|	https:// www. tudelft. nl/ en/
40.	|	Лейден университеті(Leiden University)	|	Нидерланд Корольдігі	|	https:// www. uni vers itei tlei den. nl/ en
41.	|	Эразм Роттердам университеті(Erasmus University Rotterdam)	|	Нидерланд Корольдігі	|	https:// www. eur. nl/ en
42.	|	Қасиетті Радбод атындағы Неймеген университеті(Radboud University Nijmegen)	|	Нидерланд Корольдігі	|	https:// www. ru. nl/ english/
43.	|	Утрехт университеті(Utrecht University)	|	Нидерланд Корольдігі	|	https:// www. uu. nl/ en
44.	|	Осло университеті(University of Oslo)	|	Норвегия Корольдігі	|	https:// www. uio. no/ english/
45.	|	ГҰтеборг университеті(University of Gothenburg)	|	Швеция Корольдігі	|	https:// www. gu. se/ english
46.	|	Каролин институты(Karolinska Institutet)	|	Швеция Корольдігі	|	https:// ki. se/ start
47.	|	Лунд университеті(Lund University)	|	Швеция Корольдігі	|	https:// www. lu. se/
48.	|	Стокгольм университеті(Stockholm University)	|	Швеция Корольдігі	|	https:// www. su. se/ english/
49.	|	Уппсала университеті(Uppsala University)	|	Швеция Корольдігі	|	https:// www. uu. se/ en
50.	|	Окленд университеті(University of Auckland)	|	Жаңа Зеландия	|	https:// www. auc klan d. ac. nz/ en. html
51.	|	Сеул ұлттық университеті(Seoul National University)	|	Корея Республикасы	|	www. useoul. edu/
52.	|	Сонгюнгван университеті(Sungkyunkwan University)	|	Корея Республикасы	|	https:// www. skku. edu/ eng/ index. do
53.	|	Наньян технологиялық университеті(Nanyang Technological University)	|	Сингапур Республикасы	|	https:// www. ntu. edu. sg
54.	|	Сингапур ұлттық университеті(National University of Singapore)	|	Сингапур Республикасы	|	nus. edu. sg/
55.	|	М.В.Ломоносов атындағы Мәскеу мемлекеттік университеті(Lomonosov Moscow State University)	|	Ресей Федерациясы	|	https:// www. msu. ru/
56.	|	Бирмингем университеті(University of Birmingham)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. bir ming ham. ac. uk/
57.	|	Бристол университеті(University of Bristol)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. bristol. ac. uk/
58.	|	Лондон империялық колледжі(Imperial College London)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. imp eria l. ac. uk/
59.	|	Кембридж университеті(University of Cambridge)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. cam. ac. uk
60.	|	Лондон Корольдік колледжі(King’s College London)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. kcl. ac. uk/
61.	|	Ливерпуль университеті(University of Liverpool)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. liv erpo ol. ac. uk/
62.	|	Лондон гигиена және тропикалық медицина мектебі(London School of Hygiene & Tropical Medicine)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. lshtm. ac. uk/
63.	|	Лондон экономика және саяси ғылымдар мектебі(London School of Economics and Political Science)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. lse. ac. uk/
64.	|	Лондондағы Queen Mary университеті(Queen Mary, University of London)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. qmul. ac. uk/
65.	|	Манчестер университеті(University of Manchester)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. man ches ter. ac. uk
66.	|	Ноттингем университеті(University of Nottingham)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. not ting ham. ac. uk
67.	|	Оксфорд университеті(University of Oxford)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. ox. ac. uk
68.	|	Саутгемптон университеті(University of Southampton)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. sou tham pton. ac. uk/
69.	|	Глазго университеті(University of Glasgow)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. gla. ac. uk
70.	|	Шеффилд университеті(University of Sheffield)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. she ffie ld. ac. uk/
71.	|	Лондон университеттік колледжі (University College London)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	https:// www. ucl. ac. uk/
72.	|	Уоррик университеті(University of Warwick)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. warwick. ac. uk
73.	|	Эдинбург университеті(University of Edinburgh)	|	Ұлыбритания Және Солтүстік Ирландия Біріккен Корольдігі	|	www. ed. ac. uk
74.	|	Бостон университеті(Boston University)	|	Америка Құрама Штаттары	|	https:// www. bu. edu/
75.	|	Вашингтон университеті(University of Washington)	|	Америка Құрама Штаттары	|	www. was hing ton. edu
76.	|	Мадисондегі Висконсин университеті(University of Wisconsin - Madison)	|	Америка Құрама Штаттары	|	www. wisc. edu
77.	|	Гарвард университеті(Harvard University)	|	Америка Құрама Штаттары	|	https:// www. harvard. edu/
78.	|	Урбана-Шампейндегі Иллинойс университеті(University of Illinois at Urbana-Champaign)	|	Америка Құрама Штаттары	|	www. ill inoi s. edu
79.	|	Йель университеті(Yale University)	|	Америка Құрама Штаттары	|	https:// www. yale. edu/
80.	|	Калифорния технология институты(California Institute of Technology)	|	Америка Құрама Штаттары	|	http:// www. caltech. edu/
81.	|	Берклидегі Калифорния университеті(University of California, Berkeley)	|	Америка Құрама Штаттары	|	https:// www. ber kele y. edu/
82.	|	Де́йвистегі Калифорния университеті(University of California, Davis)	|	Америка Құрама Штаттары	|	https:// www. ucdavis. edu/
83.	|	Ирвайндегі Калифорния университеті(University of California, Irvine)	|	Америка Құрама Штаттары	|	https:// uci. edu/
84.	|	Лос-Анджелестегі Калифорния университеті(University of California, Los Angeles)	|	Америка Құрама Штаттары	|	www. ucla. edu/
85.	|	Сан-Диегодағы Калифорния университеті(University of California, San Diego)	|	Америка Құрама Штаттары	|	https:// ucsd. edu/
86.	|	Санта-Барбарадағы Калифорния университеті(University of California, Santa Barbara)	|	Америка Құрама Штаттары	|	https:// www. ucsb. edu/
87.	|	Сан-Францискодағы Калифорния университеті(University of California, San Francisco)	|	Америка Құрама Штаттары	|	https:// www. ucsf. edu/
88.	|	Боулдердегі Колорадо университеті(University of Colorado at Boulder)	|	Америка Құрама Штаттары	|	https:// www. col orad o. edu/
89.	|	Колумбия университеті(Columbia University)	|	Америка Құрама Штаттары	|	https:// www. col umbi a. edu/
90.	|	Корнелл университеті(Cornell University)	|	Америка Құрама Штаттары	|	https:// www. cornell. edu/
91.	|	Массачусетс технологиялық институты(Massachusetts Institute of Technology)	|	Америка Құрама Штаттары	|	www. mit. edu/
92.	|	Мичиган университеті(University of Michigan, Ann Arbor)	|	Америка Құрама Штаттары	|	https:// umich. edu/
93.	|	Колледж-Парктегі Мэриленд университеті(University of Maryland, College Park)	|	Америка Құрама Штаттары	|	www. umd. edu
94.	|	Нью-Йорк университеті(New York University)	|	Америка Құрама Штаттары	|	https:// www. nyu. edu/
95.	|	Пенсильвания университеті(University of Pennsylvania)	|	Америка Құрама Штаттары	|	https:// www. upenn. edu/
96.	|	Питтсбург университеті(University of Pittsburgh)	|	Америка Құрама Штаттары	|	https:// www. pitt. edu/
97.	|	Принстон университеті(Princeton University)	|	Америка Құрама Штаттары	|	https:// www. pri ncet on. edu/
98.	|	Рокфеллер университеті(Rockefeller University)	|	Америка Құрама Штаттары	|	https:// www. roc kefe ller. edu/
99.	|	Солтүстік Батыс университеті(Northwestern University)	|	Америка Құрама Штаттары	|	https:// www. nor thwe ster n. edu/
100.	|	Стэнфорд университеті(Stanford University)	|	Америка Құрама Штаттары	|	https:// www. sta nfor d. edu/
101.	|	Остиндегі Техас университеті(University of Texas at Austin)	|	Америка Құрама Штаттары	|	www. utexas. edu
102.	|	Джорджия технологиялық институты (Georgia Institute of Technology)	|	Америка Құрама Штаттары	|	https:// www. gatech. edu/
103.	|	Браун университеті(Brown University)	|	Америка Құрама Штаттары	|	https:// www. brown. edu/
104.	|	Вандербильт университеті(Vanderbilt University)	|	Америка Құрама Штаттары	|	https:// www. van derb ilt. edu/
105.	|	Сент-Луистегі Вашингтон университеті(Washington University in St. Louis)	|	Америка Құрама Штаттары	|	https:// wustl. edu/
106.	|	Джонс Хопкинс университеті(Johns Hopkins University)	|	Америка Құрама Штаттары	|	https:// www. jhu. edu/
107.	|	Дьюк университеті(Duke University)	|	Америка Құрама Штаттары	|	https:// www. duke. edu/
108.	|	Карнеги-Меллон университеті(Carnegie Mellon University)	|	Америка Құрама Штаттары	|	https:// www. cmu. edu/
109.	|	Миннесота университеті(University of Minnesota, Twin Cities)	|	Америка Құрама Штаттары	|	https:// twin- cities. umn. edu/
110.	|	Пердью университеті(Purdue University)	|	Америка Құрама Штаттары	|	https:// www. purdue. edu/
